abandon,freedom from artificial constraint
lecture,a discourse on any subject
ledge,that which resembles such a shelf in form or use as a projecting ridge or part or a molding or edge in joinery
left,those members of a legislative assembly ( as in france ) who are in the opposition
legacy,a commission
leg,any long and slender support on which any object rests
legend,a story respecting saints
legislation,the laws enacted
legislature,a legislative body
leisure,ease
lemon,the tree which bears lemons
length,"the quality or state of being long , in space or time"
lesson,a portion of scripture read in divine service for instruction
let,a stroke in which a ball touches the top of the net in passing over
letter,an epistle
level,"an approximately horizontal line or surface at a certain degree of altitude , or distance from the center of the earth"
lever,"an arm on a rock shaft , to give motion to the shaft or to obtain motion from it"
liability,"that which one is under obligation to pay , or for which one is liable"
liar,one who lies
liberal,a reformer
liberty,a privilege conferred by a superior power
library,"a considerable collection of books kept for use , and not as merchandise"
license,a grant of permission
lid,"that which covers the opening of a vessel or box , etc"
lie,a fiction
lied,a german song
lieu,place
lieutenant,"a commissioned officer in the army , next below a captain"
life,"sometimes , the deathless quality or existence of the soul"
lift,act of lifting
light,day
lighter,"one who , or that which , lights"
lighting,a name sometimes applied to the process of annealing metals
lightness,levity
lightning,"a discharge of atmospheric electricity , accompanied by a vivid flash of light , commonly from one cloud to another , sometimes from a cloud to the earth"
likeness,the state or quality of being like
liking,inclination
lily,that end of a compass needle which should point to the north
limb,"the border or edge of the disk of a heavenly body , especially of the sun and moon"
lime,a leash
limestone,a rock consisting chiefly of calcium carbonate or carbonate of lime
limitation,the act of limiting
limit,the period itself
limp,the act of limping
line,a cord of any thickness
linen,thread or cloth made of flax or ( rarely ) of hemp
lining,the contents of anything
link,a part of a connected series
links,a tract of ground laid out for the game of golf
lion,"a large carnivorous feline mammal , found in southern asia and in most parts of africa , distinct varieties occurring in the different countries"
lip,a kind of short open spout
liquid,"a letter which has a smooth , flowing sound , or which flows smoothly after a mute"
liquor,"specifically , alcoholic or spirituous fluid , either distilled or fermented , as brandy , wine , whisky , beer , etc"
list,a border
listener,one who listens
listing,list
literature,the whole body of literary productions or writings upon a given subject or in reference to a particular science or branch of knowledge or of a given country or period
litter,"straw , hay , etc"
livelihood,the means for support of life
liver,one whose course of life has some marked characteristic ( expressed by an adjective )
living,existence
load,that which is laid on or put in anything for conveyance
loaf,"any thick lump , mass , or cake"
loan,the act of lending
locality,a place
location,that which is located
lock,a fastening together or interlacing
lodge,a den or cave
lodging,abiding place
log,an apparatus for measuring the rate of a ship ' s motion through the water
logic,sound judgment
loneliness,seclusion
long,"a note formerly used in music , one half the length of a large , twice that of a breve"
longing,a morbid appetite
longitude,measure or distance along the longest line
look,appearance
looking,the act of one who looks
lookout,a person engaged in watching
loose,a letting go
lord,"a proprietor , as of a manor"
lordship,a manor
lore,"the knowledge gained from tradition , books , or experience"
loss,privation
lot,that which happens without human design or forethought
lover,"one who has a strong liking for anything , as books , science , or music"
love,tenderness
lower,cloudiness
low,the lowest trump dealt or drawn
loyalty,"fidelity to a superior , or to duty , love , etc"
luck,that which happens to a person
luggage,anything cumbrous and heavy to be carried
lumber,"things cumbrous , or bulky and useless , or of small value"
lump,a projection beneath the breech end of a gun barrel
lunch,a luncheon
luncheon,"a lunch , especially one organized by a group as a formal social gathering"
lust,longing desire
luxury,"a free indulgence in costly food , dress , furniture , or anything expensive which gratifies the appetites or tastes"
lyric,a lyrical composition
machine,a person who acts mechanically or at the will of another
machinery,"the working parts of a machine , engine , or instrument"
madam,a gentlewoman
mad,an earthworm
madness,insanity
magazine,"a receptacle in which anything is stored , especially military stores , as ammunition , arms , provisions , etc"
magic,"a comprehensive name for all of the pretended arts which claim to produce effects by the assistance of supernatural beings , or departed spirits , or by a mastery of secret forces in nature attained by a study of occult science , including enchantment , conjuration , witchcraft , sorcery , necromancy , incantation , etc"
magician,one who practices the black art
magistrate,a person clothed with power as a public civil officer
magnetic,"any metal , as iron , nickel , cobalt , etc"
magnificence,the act of doing what is magnificent
magnitude,size
maid,a virgin
maiden,a maid
mail,"letters , etc"
mainland,the continent
maintenance,means of sustenance
main,"the continent , as distinguished from an island"
majority,the greater number
major,the lowest field officer
make,construction
maker,the person who makes a promissory note
making,workmanship
malice,ill will
malignant,a man of extreme enmity or evil intentions
management,skillful treatment
manager,a good economist
mane,"the long and heavy hair growing on the upper side of , or about , the neck of some quadrupedal animals , as the horse , the lion , etc"
manhood,virility
manifest,"a list or invoice of a ship ' s cargo , containing a description by marks , numbers , etc"
manifestation,exhibition
manifold,the third stomach of a ruminant animal
mankind,the male portion of human race
manner,becoming behavior
mansion,a manor house
mantle,a covering or concealing envelope
manual,a handbook
manufacture,"the operation of making wares or any products by hand , by machinery , or by other agency"
manure,a fertilizing substance
manuscript,"writing , as opposed to print"
map,"a representation of the surface of the earth , or of some portion of it , showing the relative position of the parts represented"
marble,in the plural a child ' s game played with marbles
march,"measured and regular advance or movement , like that of soldiers moving in order"
mare,the incubus
margin,verge
marine,the department of navigation and sea forces
mark,a trace
market,an opportunity for selling or buying anything
marking,arrangement or disposition of marks or coloring
marquis,"a nobleman in england , france , and germany , of a rank next below that of duke"
marriage,matrimony
marshal,a harbinger
marsh,a morass
martyrdom,torture
martyr,one who is put to death for his religion
marvel,a prodigy
mask,a revel
mason,one who prepares stone for building purposes
massacre,"the killing of a considerable number of human beings under circumstances of atrocity or cruelty , or contrary to the usages of civilized people"
mass,a sum
master,a vessel having ( so many ) masts
masterpiece,a capital performance
mastery,victory
mast,nuts
mat,"a thick flat fabric of sedge , rushes , flags , husks , straw , hemp , or similar material , placed on the floor and used for wiping and cleaning shoes at the door , for covering the floor of a hall or room to protect its surface , and for other purposes"
match,a sporting contest
mate,an equal
material,the substance or matter of which anything is made or may be made
mathematics,"that science , or class of sciences , which treats of the exact relations existing between quantities or magnitudes , and of the methods by which , in accordance with these relations , quantities sought are deducible from other quantities known or supposed"
matron,"a wife or a widow , especially , one who has borne children"
matter,"anything which has extension , occupies space , or is perceptible by the senses"
maturity,arrival of the time fixed for payment
maxim,an established principle or proposition
maximum,the greatest value attained by a quantity which first increases and then begins to decrease
mayor,the chief magistrate of a city or borough
meadow,any field on which grass is grown for hay
meal,the portion of food taken at a particular time for the satisfaction of appetite
mean,absence of extremes or excess
meaning,object
meantime,the intervening time
measure,estimated extent
meat,the flesh of animals used as food
mechanism,the arrangement or relation of the parts of anything as adapted to produce an effect
medal,"a piece of metal in the form of a coin , struck with a device , and intended to preserve the remembrance of a notable event or an illustrious person , or to serve as a reward"
medicine,a medication
meditation,close or continued thought
medium,mean
meet,an assembling together
meeting,"a junction , crossing , or union"
melancholy,melancholia
melody,the air or tune of a musical piece
melting,liquefaction
member,a clause
memorial,"a species of informal state paper , much used in negotiation"
memory,remembrance
menace,indication of a probable evil or catastrophe to come
mental,a plate or scale covering the mentum or chin of a fish or reptile
mention,"a speaking or notice of anything , -- usually in a brief or cursory manner"
merchandise,trade
merchant,a trader
mercury,a latin god of commerce and gain
mercy,disposition to exercise compassion or favor
mere,a boundary
meridian,"the highest point , as of success , prosperity , or the like"
merit,the quality or state of deserving well
merry,a kind of wild red cherry
message,"any notice , word , or communication , written or verbal , sent from one person to another"
messenger,"specifically , an office servant who bears messages"
mess,the milk given by a cow at one milking
metal,temper
method,a mode or system of classifying natural objects according to certain common characteristics
midday,noon
middle,"the point or part equally distant from the extremities or exterior limits , as of a line , a surface , or a solid"
midnight,twelve o ' clock at night
midst,figuratively the condition of being surrounded or beset
mien,bearing
military,troops
militia,"in the widest sense , the whole military force of a nation , including both those engaged in military service as a business , and those competent and available for such service"
milk,latex
mill,"a machine used for expelling the juice , sap , etc"
millennium,"the period of a thousand years mentioned in the twentieth chapter of revelation , during which holiness is to be triumphant throughout the world"
miller,a moth or lepidopterous insect
millionaire,a very rich person
million,a very great number
mind,opinion
mineral,"an inorganic species or substance occurring in nature , having a definite chemical composition and usually a distinct crystalline form"
miniature,greatly diminished size or form
minimum,"the least quantity assignable , admissible , or possible , in a given case"
mining,the act or business of making mines or of working them
minister,a subordinate
ministry,"the office , duties , or functions of a minister , servant , or agent"
minor,"in england and the united states , one under twenty - one years of age"
minority,the smaller number
minute,sixty seconds
miracle,a wonder or wonderful thing
mirror,"that which gives a true representation , or in which a true image may be seen"
mirth,gayety accompanied with laughter
mischief,"often , calamity , mishap"
misery,extreme pain of body or mind
misfortune,bad fortune or luck
missionary,one who is sent on a mission
mission,business or duty on which one is sent
mistake,an apprehending wrongly
mist,"coarse , watery vapor , floating or falling in visible particles , approaching the form of rain"
mistress,"the female head of a family , a school , etc"
misunderstanding,difference of opinion
mixture,an ingredient entering into a mixed mass
moan,a low mournful or murmuring sound
mob,an unlawful or riotous assembly
mock,a sneer
mode,degree
model,a plan
moderate,"one of a party in the church of scotland in the 18th century , and part of the 19th , professing moderation in matters of church government , in discipline , and in doctrine"
moderation,equanimity
modesty,humility respecting one ' s own merit
modification,the alteration of the meaning of a word or phrase by another word or phrase
moisture,a moderate degree of wetness
moment,consideration
monarch,the highest ruler
monarchy,the territory ruled over by a monarch
money,"a piece of metal , as gold , silver , copper , etc"
monk,"one of a religious community of men inhabiting a monastery , and bound by vows to a life of chastity , obedience , and poverty"
monopoly,"sole command of the traffic in anything , however obtained"
monotony,"any irksome sameness , or want of variety"
monster,a marvel
monthly,a publication which appears regularly once a month
month,one of the twelve portions into which the year is divided
monument,"a stone or other permanent object , serving to indicate a limit or to mark a boundary"
mood,logical form
moonlight,the light of the moon
moon,the celestial orb which revolves round the earth
moor,any individual of the swarthy races of africa or asia which have adopted the mohammedan religion
moral,a morality play
morality,the quality of an action which renders it good
morning,"the first or early part of the day , variously understood as the earliest hours of light , the time near sunrise"
morrow,the next following day
morsel,a little bite or bit of food
mortal,a human being
mortality,"those who are , or that which is , mortal"
mortar,"a strong vessel , commonly in form of an inverted bell , in which substances are pounded or rubbed with a pestle"
mortgage,the written instrument by which the conveyance is made
moss,a bog
mother,source of birth or origin
motion,tendency
motive,inducement
motor,a prime mover
motto,a maxim
mound,a natural elevation appearing as if thrown up artificially
mount,a horse
mountain,earth and rock forming an isolated peak or a ridge
mounting,"that by which anything is prepared for use , or set off to advantage"
mourning,sorrow
mouse,a knob made on a rope with spun yarn or parceling to prevent a running eye from slipping
mouth,"the opening of a vessel by which it is filled or emptied , charged or discharged"
move,a movement
movement,motion
moving,the act of changing place or posture
mud,earth and water mixed so as to be soft and adhesive
mule,a hybrid animal
multitude,an assembly
murderer,"a person who , in possession of his reason , unlawfully kills a human being with premeditated malice"
murder,intentional and unlawful homicide
murmur,"a low , confused , and indistinct sound , like that of running water"
muscle,"an organ which , by its contraction , produces motion"
muse,a particular power and practice of poetry
museum,"a repository or a collection of natural , scientific , or literary curiosities , or of works of art"
musical,a drama in which music and song are prominent features
music,an accordant combination of simultaneous tones
musician,a skilled singer or performer on a musical instrument
mustache,hair left growing above the mouth
muster,"an assembling or review of troops , as for parade , verification of numbers , inspection , exercise , or introduction into service"
mute,a person whose part in a play does not require him to speak
mutiny,"insurrection against constituted authority , particularly military or naval authority"
mutton,the flesh of a sheep
muzzle,"the projecting mouth and nose of a quadruped , as of a horse"
mystery,a handicraft
mystic,in ecclesiastical history one who professed mysticism
myth,a wonder story of prehistoric origin
mythology,a treatise on myths
nail,"the terminal horny plate on the beak of ducks , and other allied birds"
name,illustrious character or fame
narrative,a continuous account of the particulars of an event or transaction
narrow,a strait connecting two bodies of water
nationality,patriotism
nation,"one of the divisions of university students in a classification according to nativity , formerly common in europe"
native,"one who , or that which , is born in a place or country referred to"
natural,"a person who has an innate talent that makes success in some specific endeavor , such as sports , much easier than for others"
nature,the agencies which carry on the processes of creation or of being
navigation,the mechanics of traveling by water
navy,"the whole of the war vessels belonging to a nation or ruler , considered collectively"
nay,one who votes in the negative
necessary,an essential
necessity,the condition of being needy or necessitous
neck,"a long narrow tract of land projecting from the main body , or a narrow tract connecting two larger tracts"
necklace,a rope or chain fitted around the masthead to hold hanging blocks for jibs and stays
needle,"a small instrument of steel , sharply pointed at one end , with an eye to receive a thread , -- used in sewing"
need,poverty
negative,veto
neglect,habitual carelessness
negligence,the quality or state of being negligent
negro,a black man
neighbor,a person who lives near another
neighborhood,adjoining district
nerve,muscular power and control
ness,a headland
nest,"the place in which the eggs of other animals , as insects , turtles , etc"
net,anything wrought or woven in meshes
network,a system of computers linked together by communications channels allowing the exchange of data between the linked computers
neutral,a person or a nation that takes no part in a contest between others
neutrality,indifference
newspaper,"a sheet of paper printed and distributed , at stated intervals , for conveying intelligence of passing events , advocating opinions , etc"
nick,a score for keeping an account
nightfall,the close of the day
night,the time between dusk and dawn when there is no light of the sun but only moonlight starlight or artificial light
nineteenth,an interval of two octaves and a fifth
nineteen,the sum of ten and nine
nine,the number greater than eight by a unit
ninety,the sum of nine times ten
ninth,an interval containing an octave and a second
nobility,those who are noble
noble,a peer
nobleman,one of the nobility
nod,a dropping or bending forward of the upper part or top of anything
noise,clamor
nominal,an appellation
nomination,designation of a person as a candidate for office
nonsense,absurdity
nook,a secluded retreat
noon,the time when the sun is in the meridian
normal,a straight line or plane drawn from any point of a curve or surface so as to be perpendicular to the curve or surface at that point
north,the northern section of a country
northwest,"the northwestern part of the contiguous forty - eight states of the united states , especially the states of washington and oregon"
nose,a snout
notable,"a person , or thing , of distinction"
note,a marginal comment or explanation
notice,cognizance
noun,a substantive
nourishment,that which serves to nourish
nous,the highest intellect
novel,that which is new or unusual
novelty,a knickknack
nuisance,that which annoys or gives trouble and vexation
number,a collection of many individuals
nun,"a woman devoted to a religious life , who lives in a convent , under the three vows of poverty , chastity , and obedience"
nurse,"a person who supplies food , tends , or brings up"
nursery,"the place , or apartment , in a house , appropriated to the care of children"
nut,"the fruit of certain trees and shrubs ( as of the almond , walnut , hickory , beech , filbert , etc"
oath,"an appeal ( in verification of a statement made ) to a superior sanction , in such a form as exposes the party making the appeal to an indictment for perjury if the statement be false"
obedience,a following
object,final cause
objection,an adverse reason or argument
objective,an object glass
obligation,"any act by which a person becomes bound to do something to or for another , or to forbear something"
oblivion,forgetfulness
obscurity,the quality or state of being obscure
observance,the act or practice of observing or noticing with attention
observation,"the result of an act , or of acts , of observing"
observer,one who fulfills or performs
obstacle,anything that hinders progress
obstinacy,"a fixedness in will , opinion , or resolution that can not be shaken at all , or only with great difficulty"
occasion,accidental or incidental cause
occupation,calling
occurrence,one which happens without being designed or expected
ocean,an immense expanse
odor,perfume
offense,the state of being offended or displeased
offensive,aggressive attitude
offer,a proffer
offering,a sacrifice
officer,"a person lawfully invested with an office , whether civil , military , or ecclesiastical"
office,"that which a person does , either voluntarily or by appointment , for , or with reference to , others"
official,a subordinate executive officer or attendant
oil,"any one of a great variety of unctuous combustible substances , more viscous than and not miscible with water"
olive,"a tree with small oblong or elliptical leaves , axillary clusters of flowers , and oval , one - seeded drupes"
omen,a presage
omission,the act of omitting
onion,its bulbous root much used as an article of food
open,"clear land , without trees or obstructions"
opening,commencement
opera,the house where operas are exhibited
operation,the method of working
opinion,the judgment or sentiment which the mind forms of persons or things
opponent,a foe
opportunity,chance
opposition,"contrariety of sentiment , interest , or purpose"
oppression,tyranny
oracle,"the answer of a god , or some person reputed to be a god , to an inquiry respecting some affair or future event , as the success of an enterprise or battle"
orange,reddish yellow
orator,a public speaker
oratory,the art of public speaking in an eloquent or effective manner
orchard,the fruit trees collectively
orchestra,the place in any public hall appropriated to a band of instrumental musicians
ordeal,"an ancient form of test to determine guilt or innocence , by appealing to a supernatural decision , -- once common in europe , and still practiced in the east and by savage tribes"
orderly,"a noncommissioned officer or soldier who attends a superior officer to carry his orders , or to render other service"
order,"of periods of time or occurrences , and the like"
ordinance,"a statute , law , regulation , rescript , or accepted usage"
ordinary,"a judicial officer , having generally the powers of a judge of probate or a surrogate"
ore,"a native metal or its compound with the rock in which it occurs , after it has been picked over to throw out what is worthless"
organ,a component part performing an essential office in the working of any complex machine
organism,an organized being
organization,the act of arranging in a systematic way for use or action
original,a person of marked eccentricity
originality,ability to express oneself in an original manner
originator,one who originates
origin,the spring
ornament,embellishment
orphan,"sometimes , also , a child who has but one parent living"
ounce,the twelfth part of a troy pound
outbreak,a bursting forth
outburst,a bursting forth
outcome,result
outer,the part of a target which is beyond the circles surrounding the bull ' s - eye
outfit,"a fitting out , or equipment , as of a ship for a voyage , or of a person for an expedition in an unoccupied region or residence in a foreign land"
outlet,the place or opening by which anything is let out
outline,a sketch composed of such lines
outlook,the place from which one looks out
outrage,excessive abuse
oval,"a body or figure in the shape of an egg , or popularly , of an ellipse"
oven,any structure whether fixed or portable which may be heated for baking drying etc
overcoat,a greatcoat
overthrow,the state of being overthrown
owl,a variety of the domestic pigeon
owner,"one who has the legal or rightful title , whether he is the possessor or not"
ownership,proprietorship
oxygen,"a colorless , tasteless , odorless , gaseous element of atomic number 8 , occurring in the free state in the atmosphere , of which it forms about 23 per cent by weight and about 21 per cent by volume , being slightly heavier than nitrogen"
pace,a step
package,a bale
pack,a multitude
packet,a mail boat
packing,"the substance in a stuffing box , through which a piston rod slides"
padre,a chaplain in one of the military services
pagan,an idolater
page,a writing
pail,"a vessel of wood or tin , etc"
pains,care or trouble taken
pain,"suffering or evil inflicted as a punishment for crime , or connected with the commission of a crime"
painter,"a rope at the bow of a boat , used to fasten it to anything"
painting,any work of art in which objects are represented in color on a flat surface
paint,rouge
pair,a couple
palace,the official residence of a bishop or other distinguished personage
pale,an inclosure
pallor,want of color
palm,victory
pamphlet,"a small book consisting of a few sheets of printed paper , stitched together , often with a paper cover , but not bound"
pang,a throe
panic,by extension : a sudden widespread fright or apprehension concerning financial affairs
pan,the part of a flintlock which holds the priming
papa,a child ' s word for father
paper,a writing
parade,"the ground where a military display is held , or where troops are drilled"
paradise,a place of bliss
paragraph,a distinct part of a discourse or writing
parallel,similarity
parapet,"a low wall , especially one serving to protect the edge of a platform , roof , bridge , or the like"
parcel,a package
parchment,"the skin of a lamb , sheep , goat , young calf , or other animal , prepared for writing on"
pardon,an official warrant of remission of penalty
parent,author
parish,loosely the territory in which the members of a congregation live
park,"a tract of ground kept in its natural state , about or adjacent to a residence , as for the preservation of game , for walking , riding , or the like"
parliament,an assembly of representatives of a nation or people having authority to make laws
parlor,"commonly , in the united states , a drawing - room , or the room where visitors are received and entertained"
parson,"one who is in orders , or is licensed to preach"
participation,"the act or state of participating , or sharing in common with others"
particle,a minute part or portion of matter
particular,"an individual fact , point , circumstance , detail , or item , which may be considered separately"
parting,division
partition,that which divides or separates
partner,either one of a couple who dance together
partnership,an alliance or association of persons for the prosecution of an undertaking or a business on joint account
party,a detachment
passage,travel
pass,an attempt to stab or strike an adversary
passenger,a passer or passer - by
passing,"the act of one who , or that which , passes"
passion,the capacity or susceptibility of being so affected
passport,permission to pass
paste,"a soft composition , as of flour moistened with water or milk , or of earth moistened to the consistence of dough , as in making potter ' s ware"
pastor,a keeper
pastoral,a bucolic
pasture,the food of cattle taken by grazing
pat,a tap
patch,a small piece of anything used to repair a breach
patent,the right or privilege conferred by such a document
path,an established way
pathos,"the quality or character of those emotions , traits , or experiences which are personal , and therefore restricted and evanescent"
pathway,a footpath
patience,the power of suffering with fortitude
patient,"one who , or that which , is passively affected"
patriotism,devotion to the welfare of one ' s country
patronage,the offices contracts honors etc
patron,a man of distinction under whose protection another person placed himself
pattern,a specimen
patty,a little pie
pause,interruption
pavement,that with which anything is paved
pavilion,a large tent
pay,"an equivalent or return for money due , goods purchased , or services performed"
payment,reward
peace,"exemption from , or cessation of , war with public enemies"
peak,the sharp end or top of anything that terminates in a point
pearl,something very precious
peasant,a rustic
peculiar,a sole or exclusive property
peculiarity,singularity
peep,a chirp
peer,"a member of one of the five degrees of the british nobility , namely , duke , marquis , earl , viscount , baron"
peg,a pretext
penalty,punishment for crime or offense
penance,an act of atonement
pen,a penitentiary [ 6 ]
pencil,in general the act or occupation of the artist descriptive writer etc
peninsula,"a portion of land nearly surrounded by water , and connected with a larger body by a neck , or isthmus"
penitent,one undergoing penance
penny,a groat
pension,a regular stipend paid by a government to retired public officers disabled soldiers the families of soldiers killed in service or to meritorious authors or the like
people,the mass of community as distinguished from a special class
percentage,"the allowance , duty , rate of interest , discount , or commission , on a hundred"
perception,the act of perceiving
perch,a rod
perfection,entire development
performance,representation by action
perfume,aroma
period,"a portion of time as limited and determined by some recurring phenomenon , as by the completion of a revolution of one of the heavenly bodies"
periodical,a magazine or other publication which appears at stated or regular intervals
permission,leave
permit,warrant
perpendicular,a vertical line or direction
perplexity,embarrassment
persecution,the infliction of loss pain or death for adherence to a particular creed or mode of worship
perseverance,the act of persevering
personage,"form , appearance , or belongings of a person"
personal,a chattel
personality,"that quality of a law which concerns the condition , state , and capacity of persons"
person,outward appearance
perspective,"the effect of distance upon the appearance of objects , by means of which the eye recognized them as being at a more or less measurable distance"
perspiration,that which is excreted through the skin
persuasion,"settled opinion or conviction , which has been induced"
perusal,"the act of reading , especially of reading through or with care"
pestilence,"that which is pestilent , noxious , or pernicious to the moral character of great numbers"
pet,a slight fit of peevishness or fretfulness
peter,a common baptismal name for a man
petition,a request of a solemn or formal kind
phantom,a sprite
phase,a particular appearance or state in a regularly recurring cycle of changes with respect to quantity of illumination or form of enlightened disk
phenomenon,"an extraordinary or very remarkable person , thing , or occurrence"
philosopher,one who lives according to the rules of practical wisdom
philosophy,"literally , the love of , inducing the search after , wisdom"
photograph,a picture or likeness obtained by photography
phrase,diction
physician,"one duty authorized to prescribe remedies for , and treat , diseases"
piano,"a well - known musical instrument somewhat resembling the harpsichord , and consisting of a series of wires of graduated length , thickness , and tension , struck by hammers moved by keys"
pick,right of selection
picnic,"now , an excursion or pleasure party in which the members partake of a collation or repast ( usually in the open air , and from food carried by themselves )"
picture,"a representation , either to the eye or to the mind"
pie,"any other species of the genus pica , and of several allied genera"
piece,a portion
pier,any additional or auxiliary mass of masonry used to stiffen a wall
piety,"loving obedience to the will of god , and earnest devotion to his service"
pig,"an oblong mass of cast iron , lead , or other metal"
pile,a heap
pilgrimage,a tedious and wearisome time
pilgrim,a wayfarer
pillar,a column or shaft not supporting a superstructure as one erected for a monument or an ornament
pillow,"a kind of plain , coarse fustian"
pilot,one employed to steer a vessel
pin,a peg
pinch,a nip
pine,a pineapple
pink,anything supremely excellent
pint,"a measure of capacity , equal to half a quart , or four gills , -- used in liquid and dry measures"
pioneer,"one who goes before , as into the wilderness , preparing the way for others to follow"
pipe,any tube which produces musical sounds
pirate,a robber on the high seas
pistol,"the smallest firearm used , intended to be fired from one hand , -- now of many patterns , and bearing a great variety of names"
pit,a vat sunk in the ground
pitch,a point or peak
pitcher,a water jug or jar with a large ear or handle
pity,a feeling for the sufferings or distresses of another or others
place,a broad way in a city
plague,a blow
plain,level land
plane,"a surface , any section of which by a like surface is a straight line"
planet,"a star , as influencing the fate of a men"
plank,"that which supports or upholds , as a board does a swimmer"
plan,"properly , a representation drawn on a plane , as a map or a chart"
plant,"a bush , or young tree"
plantation,a colony
planting,the laying of the first courses of stone in a foundation
plaster,calcined gypsum used as a fertilizer
plate,"a flat , or nearly flat , piece of metal , the thickness of which is small in comparison with the other dimensions"
plateau,a flat surface
platform,"a stage , for speakers , performers , or workmen"
play,amusement
player,one without serious aims
plea,an excuse
pleading,"the act of advocating , defending , or supporting , a cause by arguments"
pleasure,diversion
pledge,a bail
plenty,sufficiency
plight,security
plot,"in fiction , the story of a play , novel , romance , or poem , comprising a complication of incidents which are gradually unfolded , sometimes by unexpected means"
pluck,courage
plunder,pillage
plunge,the act of thrusting into or submerging
plural,that form of a word which expresses or denotes more than one
pocket,a bag or pouch
poem,a metrical composition
poetry,poems collectively
point,"anything which tapers to a sharp , well - defined termination"
poison,"any agent which , when introduced into the animal organism , is capable of producing a morbid , noxious , or deadly effect upon it"
pole,one of the opposite or contrasted parts or directions in which a polar force is manifested
policeman,a constable
police,the internal regulation of a state
policy,the method by which any institution is administered
polish,"a smooth , glossy surface , usually produced by friction"
politeness,obliging attentions
politician,a schemer
politics,"that part of ethics which has to do with the regulation and government of a nation or state , the preservation of its safety , peace , and prosperity , the defense of its existence and rights against foreign control or conquest , the augmentation of its strength and resources , and the protection of its citizens in their rights , with the preservation and improvement of their morals"
pomp,show of magnificence
pond,"a body of water , naturally or artificially confined , and usually of less extent than a lake"
pony,twenty - five pounds sterling
pool,a small body of standing or stagnant water
poor,a small european codfish
pope,"the bishop of rome , the head of the roman catholic church"
populace,the common people
popularity,claptrap
population,"the whole number of people , or inhabitants , in a country , or portion of a country"
porch,"a covered and inclosed entrance to a building , whether taken from the interior , and forming a sort of vestibule within the main wall , or projecting without and with a separate roof"
pork,"the flesh of swine , fresh or salted , used for food"
port,bearing
porter,a carrier
portion,"a part considered by itself , though not actually cut off or separated from the whole"
portrait,any graphic or vivid delineation or description of a person
pose,the position of the body or of any member of the body
position,a principle laid down as the basis of reasoning
positive,that which settles by absolute appointment
possession,"in the plural , property in the aggregate"
possessor,"one who has actual participation or enjoyment , generally of that which is desirable"
possibility,a thing or event that may not happen
posterity,offspring to the furthest generation
post,the troops at such a station
posture,"state or condition , whether of external circumstances , or of internal feeling and will"
pot,an earthen or pewter cup for liquors
potato,"a plant of the nightshade family , and its esculent farinaceous tuber , of which there are numerous varieties used for food"
potent,"they are always alternately argent and azure , unless otherwise specially mentioned"
pound,a level stretch in a canal between locks
pour,"a stream , or something like a stream"
poverty,need
powder,"an explosive mixture used in gunnery , blasting , etc"
power,capacity of undergoing or suffering
practice,application of knowledge
prairie,a so called natural meadow
praise,honor rendered because of excellence or worth
prayer,a supplicant
preaching,"serious , earnest advice"
precaution,a measure taken beforehand to ward off evil or secure good or success
precedent,something done or said that may serve as an example to authorize a subsequent act of the same kind
precipice,a headlong steep
precipitate,same as precipitation { 5
precision,definiteness
predecessor,"one who has preceded another in any state , position , office , etc"
preface,"something spoken as introductory to a discourse , or written as introductory to a book or essay"
preference,the power or opportunity of choosing
prejudice,damage
preliminary,"that which precedes the main discourse , work , design , or business"
preparation,fitness
presence,"specifically , neighborhood to the person of one of superior of exalted rank"
presentation,"the act of presenting , or the state of being presented"
present,"” -- in this sense , rarely used in the singular"
preservation,safety
preserve,"fruit , etc"
president,"the chief officer of a corporation , company , institution , society , or the like"
press,printed publications taken collectively more especially newspapers or the persons employed in writing for them
pressure,a squeezing
prestige,weight or influence derived from past success
pretext,pretense
prey,spoil
price,equivalent in money or other means of exchange
pride,the quality or state of being proud
priesthood,the order of priests
priest,one who acts as a mediator between men and the divinity or the gods in any form of religion
primary,one of the large feathers on the distal joint of a bird ' s wing
prime,the first part
primitive,an original or primary word
prince,"a title belonging to persons of high rank , differing in different countries"
princess,a female member of a royal family
principal,"one who acts independently , or who has controlling authority or influence"
principle,"a comprehensive law or doctrine , from which others are derived , or on which others are founded"
print,"a line , character , figure , or indentation , made by the pressure of one thing on another"
printing,typography
prior,"the superior of a priory , and next below an abbot in dignity"
prison,"a place where persons are confined , or restrained of personal liberty"
prisoner,a captive
privacy,seclusion
private,the genitals
privilege,a prerogative
prize,"a thing seized by force , stratagem , or superior power"
probability,appearance of reality or truth
procedure,a proceeding
proceeding,a transaction
procession,a ceremonious train
process,progressive act or transaction
proclamation,a published ordinance
produce,"that which is produced , brought forth , or yielded"
product,"anything that is produced , whether as the result of generation , growth , labor , or thought , or by the operation of involuntary causes"
production,"the act or process or producing , bringing forth , or exhibiting to view"
professional,"a person who prosecutes anything professionally , or for a livelihood , and not in the character of an amateur"
profession,an avowal
profile,"a section of any member , made at right angles with its main lines , showing the exact shape of moldings and the like"
profit,accession of good
profound,the sea
profusion,the act of one who is profuse
progress,in business of any kind
prohibition,"specifically , the forbidding by law of the sale of alcoholic liquors as beverages"
project,a design
promotion,the act of exalting in rank or honor
prompt,"a limit of time given for payment of an account for produce purchased , this limit varying with different goods"
proof,the quality or state of having been proved or tried
property,title
