abandon,freedom from artificial constraint
leather,dressed hides collectively
leave,a leaving
lecture,a discourse on any subject
ledge,a layer or stratum
left,those members of a legislative assembly ( as in france ) who are in the opposition
legacy,"a gift of property by will , especially of money or personal property"
leg,"a limb or member of an animal used for supporting the body , and in running , climbing , and swimming"
legend,that which is appointed to be read
legislation,preparation and enactment of laws
legislature,a legislative body
leisure,time free from employment
lemon,the tree which bears lemons
length,extent
lesson,that which is learned or taught by an express effort
let,impediment
letter,"a message expressed in intelligible characters on something adapted to conveyance , as paper , parchment , etc"
level,a line or surface which is everywhere parallel to the surface of still water
lever,"a rigid piece which is capable of turning about one point , or axis ( the fulcrum ), and in which are two or more other points where forces are applied"
liability,"that which one is under obligation to pay , or for which one is liable"
liar,one who lies
liberal,a reformer
liberty,exemption from subjection to the will of another claiming ownership of the person or services
library,"a considerable collection of books kept for use , and not as merchandise"
license,the document granting such permission
lid,a movable cover
lie,a fable
lied,a german song
lieu,room
lieutenant,"a commissioned officer in the army , next below a captain"
life,"the state of being which begins with generation , birth , or germination , and ends with death"
lift,act of lifting
lighter,"a large boat or barge , mainly used in unloading or loading vessels which can not reach the wharves at the place of shipment or delivery"
lighting,a name sometimes applied to the process of annealing metals
lightness,nimbleness
lightning,"a discharge of atmospheric electricity , accompanied by a vivid flash of light , commonly from one cloud to another , sometimes from a cloud to the earth"
light,"that agent , force , or action in nature by the operation of which upon the organs of sight , objects are rendered visible or luminous"
likeness,a portrait
liking,"the state of being pleased with , or attracted toward , some thing or person"
lily,that end of a compass needle which should point to the north
limb,blade
lime,a thong by which a dog is led
limestone,a rock consisting chiefly of calcium carbonate or carbonate of lime
limitation,the act of limiting
limit,"the bound , border , or edge"
limp,the act of limping
line,a road or route
linen,thread or cloth made of flax or ( rarely ) of hemp
lining,the contents of anything
link,a part of a connected series
links,a tract of ground laid out for the game of golf
lion,"the mane is darker , and the terminal tuft of the tail is black"
lip,an edge of an opening
liquid,"a letter which has a smooth , flowing sound , or which flows smoothly after a mute"
liquor,"any liquid substance , as water , milk , blood , sap , juice , or the like"
list,"a roll or catalogue , that is , row or line"
listener,one who listens
listing,the sapwood cut from the edge of a board
literature,learning
litter,"a bed or stretcher so arranged that a person , especially a sick or wounded person , may be easily carried in or upon it"
livelihood,"subsistence or living , as dependent on some means of support"
liver,a resident
living,lives
load,lading
loaf,"any thick lump , mass , or cake"
loan,the act of lending
locality,a place
location,place
lock,a state of being fixed or immovable
lodge,a rude cabin
lodging,cover
log,"a hebrew measure of liquids , containing 2"
logic,sound judgment
loneliness,seclusion
long,"a note formerly used in music , one half the length of a large , twice that of a breve"
longing,an earnest wish
longitude,length
looking,a glance
lookout,a sentinel
look,the act of looking
loose,a letting go
lord,a hump - backed person
lordship,the state or condition of being a lord
lore,that which is or may be learned or known
loss,failure
lot,fortune
love,courtship
lover,a friend
lower,gloominess
low,"the lowest trump , usually the deuce"
loyalty,"fidelity to a superior , or to duty , love , etc"
luck,fortune
luggage,a traveler ' s trunks baggage etc
lumber,"things cumbrous , or bulky and useless , or of small value"
lump,an irregular or shapeless mass
lunch,a luncheon
luncheon,"a lunch , especially one organized by a group as a formal social gathering"
lust,licentious craving
luxury,contrasted to necessity
lyric,the words of a song
machine,"in general , any combination of bodies so connected that their relative motions are constrained , and by means of which force and motion may be transmitted and modified , as a screw and its nut , or a lever arranged to turn about a fulcrum or a pulley about its pivot , etc"
machinery,"machines , in general , or collectively"
madam,the woman who is in charge of a brothel
mad,an earthworm
madness,frenzy
magazine,the building or room in which the supply of powder is kept in a fortification or a ship
magician,an enchanter
magic,the art of creating illusions which appear to the observer to be inexplicable except by some supernatural influence
magistrate,"a public civil officer invested with the executive government , or some branch of it"
magnetic,"any metal , as iron , nickel , cobalt , etc"
magnificence,the act of doing what is magnificent
magnitude,"that which has one or more of the three dimensions , length , breadth , and thickness"
maid,a girl
maiden,"an instrument resembling the guillotine , formerly used in scotland for beheading criminals"
mail,"the bag or bags with the letters , papers , or other matter contained therein , conveyed under public authority from one post office to another"
mainland,the continent
maintenance,that which maintains or supports
main,the mainland
major,a person of full age
majority,the military rank of a major
make,form
maker,"specifically , the creator"
making,workmanship
malice,a depraved inclination to mischief
malignant,a man of extreme enmity or evil intentions
management,business dealing
manager,a person who conducts business or household affairs with economy and frugality
mane,"the long and heavy hair growing on the upper side of , or about , the neck of some quadrupedal animals , as the horse , the lion , etc"
manhood,manly quality
manifest,"a list or invoice of a ship ' s cargo , containing a description by marks , numbers , etc"
manifestation,exhibition
manifold,the third stomach of a ruminant animal
mankind,the male portion of human race
manner,way of performing or effecting anything
mansion,a house
mantle,a covering or concealing envelope
manual,"a small book , such as may be carried in the hand , or conveniently handled"
manufacture,"the operation of making wares or any products by hand , by machinery , or by other agency"
manure,any matter which makes land productive
manuscript,"writing , as opposed to print"
map,"a representation of the surface of the earth , or of some portion of it , showing the relative position of the parts represented"
marble,in the plural a child ' s game played with marbles
march,"the third month of the year , containing thirty - one days"
mare,the female of the horse and other equine quadrupeds
margin,a border
marine,one of a body of troops trained to do duty in the navy
mark,a token
market,"a meeting together of people , at a stated time and place , for the purpose of buying and selling ( as cattle , provisions , wares , etc"
marking,arrangement or disposition of marks or coloring
marquis,"a nobleman in england , france , and germany , of a rank next below that of duke"
marriage,"the act of marrying , or the state of being married"
marshal,one who goes before a prince to declare his coming and provide entertainment
marsh,"a tract of soft wet land , commonly covered partially or wholly with water"
martyrdom,affliction
martyr,one who sacrifices his life his station or what is of great value to him for the sake of principle or to sustain a cause
marvel,a miracle
mask,"a cover , or partial cover , for the face , used for disguise or protection"
mason,one whose occupation is to build with stone or brick
massacre,"the killing of a considerable number of human beings under circumstances of atrocity or cruelty , or contrary to the usages of civilized people"
mass,a large quantity
master,a vessel having ( so many ) masts
masterpiece,a capital performance
mastery,superiority in war or competition
mast,nuts
mat,"any similar flat object made of fabric or other material , such as rubber or plastic , placed flat on a surface for various uses , as for covering plant houses , putting beneath dishes or lamps on a table , securing rigging from friction , and the like"
match,"a contest to try strength or skill , or to determine superiority"
mate,a match
material,the substance or matter of which anything is made or may be made
mathematics,"that science , or class of sciences , which treats of the exact relations existing between quantities or magnitudes , and of the methods by which , in accordance with these relations , quantities sought are deducible from other quantities known or supposed"
matron,a housekeeper
matter,that of which anything is composed
maturity,the state or quality of being mature
maxim,an adage
maximum,the highest point or degree
mayor,the chief administrative officer of a municipal corporation
meadow,any field on which grass is grown for hay
meal,a repast
meaning,intent
mean,the middle point or place
meantime,the intervening time
measure,a fixed unit of quantity or extent
meat,"food , in general"
mechanism,the arrangement or relation of the parts of a machine
medal,"a piece of metal in the form of a coin , struck with a device , and intended to preserve the remembrance of a notable event or an illustrious person , or to serve as a reward"
medicine,a medication
meditation,musing
medium,the mean or middle term of a syllogism
meeting,a convention
meet,the persons who so assemble and the place of meeting
melancholy,gloominess
melody,a sweet or agreeable succession of sounds
melting,"the act of causing ( something ) to melt , or the process of becoming melted"
member,a part of a discourse or of a period or sentence
memorial,"a written representation of facts , addressed to the government , or to some branch of it , or to a society , etc"
memory,the reach and positiveness with which a person can remember
menace,the show of an intention to inflict evil
mental,a plate or scale covering the mentum or chin of a fish or reptile
mention,"a speaking or notice of anything , -- usually in a brief or cursory manner"
merchandise,wares
merchant,a trafficker
mercury,"a metallic element mostly obtained by reduction from cinnabar , one of its ores"
mercy,willingness to spare or to help
mere,a boundary
meridian,culmination
merit,any mark or token of excellence or approbation
merry,a kind of wild red cherry
message,specifically an official communication not made in person but delivered by a messenger
messenger,"specifically , an office servant who bears messages"
mess,persons in the military or naval service who eat at the same table
metal,character
method,systematic arrangement peculiar to an individual
midday,noon
middle,central portion
midnight,the middle of the night
midst,the middle
mien,manner
military,soldiery
militia,"in the widest sense , the whole military force of a nation , including both those engaged in military service as a business , and those competent and available for such service"
milk,an emulsion made by bruising seeds
mill,"a money of account of the united states , having the value of the tenth of a cent , or the thousandth of a dollar"
millennium,"the period of a thousand years mentioned in the twentieth chapter of revelation , during which holiness is to be triumphant throughout the world"
miller,one who keeps or attends a flour mill or gristmill
millionaire,a person worth a million or more
million,an indefinitely large number
mind,liking
mineral,"an inorganic species or substance occurring in nature , having a definite chemical composition and usually a distinct crystalline form"
miniature,reduced scale
minimum,a thing of small consequence
mining,the act or business of making mines or of working them
minister,an agent an instrument
ministry,agency
minor,"in england and the united states , one under twenty - one years of age"
minority,"the state of being a minor , or under age"
minute,sixty seconds
miracle,a wonder or wonderful thing
mirror,a looking - glass or a speculum
mirth,merriment
mischief,trouble
misery,great unhappiness
misfortune,mischance
mission,an embassy
missionary,one who is sent on a mission
mistake,a misunderstanding
mistress,a woman regarded with love and devotion
mist,"visible watery vapor suspended in the atmosphere , at or near the surface of the earth"
misunderstanding,disagreement
mixture,that which results from mixing different ingredients together
moan,a low groan
mob,an unlawful or riotous assembly
mock,a sneer
model,"sometimes , a drawing"
mode,manner of doing or being
moderate,"one of a party in the church of scotland in the 18th century , and part of the 19th , professing moderation in matters of church government , in discipline , and in doctrine"
moderation,equanimity
modesty,humility respecting one ' s own merit
modification,state as modified
moisture,liquid in small quantity
moment,force
monarch,a patron deity or presiding genius
monarchy,a state or government in which the supreme power is lodged in the hands of a monarch
money,any number of such pieces
monk,"one of a religious community of men inhabiting a monastery , and bound by vows to a life of chastity , obedience , and poverty"
monopoly,"the exclusive power , right , or privilege of dealing in some article , or of trading in some market"
monotony,"a frequent recurrence of the same tone or sound , producing a dull uniformity"
monster,"something of unnatural size , shape , or quality"
monthly,a publication which appears regularly once a month
month,one of the twelve portions into which the year is divided
monument,a memorial
mood,humor
moon,"a secondary planet , or satellite , revolving about any member of the solar system"
moonlight,the light of the moon
moor,any individual of the swarthy races of africa or asia which have adopted the mohammedan religion
morality,the quality of an action which renders it good
moral,manner of living as regards right and wrong
morning,the goddess aurora
morrow,the next following day
morsel,a little bite or bit of food
mortality,"those who are , or that which is , mortal"
mortal,man
mortar,"a strong vessel , commonly in form of an inverted bell , in which substances are pounded or rubbed with a pestle"
mortgage,the written instrument by which the conveyance is made
moss,a morass
mother,one of the human race
motion,direction of movement
motive,that which incites to action
motor,a prime mover
motto,"a short , suggestive expression of a guiding principle"
mound,a raised bank
mountain,a mount
mount,a mountain
mounting,same as carriage
mourning,sorrow
mouse,a knob made on a rope with spun yarn or parceling to prevent a running eye from slipping
mouth,"the opening or entrance of any cavity , as a cave , pit , well , or den"
movement,motion
move,one ' s turn
moving,the act of changing place or posture
mud,earth and water mixed so as to be soft and adhesive
mule,a very stubborn person
multitude,the state of being many
murderer,one guilty of murder
murder,intentional and unlawful homicide
murmur,"a low , confused , and indistinct sound , like that of running water"
muscle,muscular strength or development
muse,a brown study
museum,"a repository or a collection of natural , scientific , or literary curiosities , or of works of art"
musical,a drama in which music and song are prominent features
music,harmony
musician,one skilled in the art or science of music
mustache,that part of the beard which grows on the upper lip
muster,the sum total of an army when assembled for review and inspection
mute,the dung of birds
mutiny,"insurrection against constituted authority , particularly military or naval authority"
mutton,the flesh of a sheep
muzzle,"a fastening or covering ( as a band or cage ) for the mouth of an animal , to prevent eating or vicious biting"
mystery,a profound secret
mystic,one given to mysticism
myth,"a person or thing existing only in imagination , or whose actual existence is not verifiable"
mythology,a treatise on myths
nail,the basal thickened portion of the anterior wings of certain hemiptera
name,reputed character
narrative,a continuous account of the particulars of an event or transaction
narrow,a strait connecting two bodies of water
nationality,patriotism
nation,"one of the divisions of university students in a classification according to nativity , formerly common in europe"
native,"any of the live stock found in a region , as distinguished from such as belong to pure and distinct imported breeds"
natural,an idiot
nature,the personified sum and order of causes and effects
navigation,"the management of sails , rudder , etc"
navy,a fleet of ships
nay,refusal
necessary,a water - closet
necessity,want
necklace,a rope or chain fitted around the masthead to hold hanging blocks for jibs and stays
neck,"the part of an animal which connects the head and the trunk , and which , in man and many other animals , is more slender than the trunk"
needle,a hooked instrument which carries the thread or twine and by means of which knots or loops are formed in the process of netting knitting or crocheting
need,urgent want
negative,a proposition by which something is denied or forbidden
neglect,culpable disregard
negligence,the quality or state of being negligent
negro,a black man
neighborhood,adjoining district
neighbor,"one entitled to , or exhibiting , neighborly kindness"
nerve,muscular power and control
ness,a promontory
nest,a snug place in which young animals are reared
net,a snare
network,any system of lines or channels interlacing or crossing like the fabric of a net
neutral,a person or a nation that takes no part in a contest between others
neutrality,state of taking no part on either side
newspaper,"a sheet of paper printed and distributed , at stated intervals , for conveying intelligence of passing events , advocating opinions , etc"
nick,"a notch cut crosswise in the shank of a type , to assist a compositor in placing it properly in the stick , and in distribution"
nightfall,the arrival of the night
night,obscurity
nineteen,the number greater than eighteen by a unit
nineteenth,the next in order after the eighteenth
nine,the number greater than eight by a unit
ninety,the number greater by a unit than eighty - nine
ninth,an interval containing an octave and a second
nobility,those who are noble
noble,a nobleman
nobleman,a peer
nod,"a quick or slight downward or forward motion of the head , in assent , in familiar salutation , in drowsiness , or in giving a signal , or a command"
noise,rumor
nominal,a verb formed from a noun
nomination,designation of a person as a candidate for office
nonsense,"words , or language , which have no meaning , or which convey no intelligible ideas"
nook,a recess
noon,the time when the sun is in the meridian
normal,a straight line or plane drawn from any point of a curve or surface so as to be perpendicular to the curve or surface at that point
north,the direction opposite to the south
northwest,"the northwestern part of the contiguous forty - eight states of the united states , especially the states of washington and oregon"
nose,a nozzle
notable,"a person , or thing , of distinction"
note,a comment
notice,express notification
noun,a substantive
nourishment,"the act of nourishing , or the state of being nourished"
nous,talent
novel,"a fictitious tale or narrative , longer than a short story , having some degree of complexity and development of characters"
novelty,freshness
nuisance,that which is offensive or noxious
number,a multitude
nun,a white variety of domestic pigeons having a veil of feathers covering the head
nurse,"a person who supplies food , tends , or brings up"
nursery,"a place where young of any species , plant or animal , are nourished preparatory to transfer elsewhere"
nut,"the fruit of certain trees and shrubs ( as of the almond , walnut , hickory , beech , filbert , etc"
oath,"a solemn affirmation or declaration , made with a reverent appeal to god for the truth of what is affirmed"
obedience,a body of adherents
object,"anything which is set , or which may be regarded as set , before the mind so as to be apprehended or known"
objection,obstacle
objective,an object glass
obligation,"external duties imposed by law , promise , or contract , by the relations of society , or by courtesy , kindness , etc"
oblivion,forgetfulness
obscurity,the quality or state of being obscure
observance,performance
observation,"the result of an act , or of acts , of observing"
observer,one engaged in or trained to habits of close and exact observation
obstacle,"an obstruction , physical or moral"
obstinacy,"firm and usually unreasonable adherence to an opinion , purpose , or system"
occasion,that which falls out or happens
occupation,profession
occurrence,any event or incident
ocean,any vast space or quantity without apparent limits
odor,"any smell , whether fragrant or offensive"
offense,displeasure
offensive,the act of the attacking party
offer,a proposal to be accepted or rejected
offering,"that which is presented as an expiation or atonement for sin , or as a free gift"
office,"a special duty , trust , charge , or position , conferred by authority and for a public purpose"
officer,one who holds an office
official,a subordinate executive officer or attendant
oil,"any one of a great variety of unctuous combustible substances , more viscous than and not miscible with water"
olive,"a tree with small oblong or elliptical leaves , axillary clusters of flowers , and oval , one - seeded drupes"
omen,an augury
omission,the act of omitting
onion,its bulbous root much used as an article of food
open,"clear land , without trees or obstructions"
opening,a breach
opera,a lyric drama
operation,an effect brought about in accordance with a definite plan
opinion,estimation
opponent,an adversary
opportunity,fit or convenient time or situation
opposition,the state of being placed over against
oppression,that which oppresses
oracle,"the answer of a god , or some person reputed to be a god , to an inquiry respecting some affair or future event , as the success of an enterprise or battle"
orange,the tree that bears oranges
orator,a petitioner
oratory,eloquence
orchard,an inclosure containing fruit trees
orchestra,the space in the main floor of a theater in which the audience sits
ordeal,"an ancient form of test to determine guilt or innocence , by appealing to a supernatural decision , -- once common in europe , and still practiced in the east and by savage tribes"
orderly,"a noncommissioned officer or soldier who attends a superior officer to carry his orders , or to render other service"
order,"of material things , like the books in a library"
ordinance,a local law enacted by a municipal government
ordinary,an ecclesiastical judge
ore,"a native metal or its compound with the rock in which it occurs , after it has been picked over to throw out what is worthless"
organ,"an instrument or medium by which some important action is performed , or an important end accomplished"
organism,an organized being
organization,that which is organized
originality,creativity
original,that which precedes all others of its class
originator,one who originates
origin,the first existence or beginning of anything
ornament,adornment
orphan,a child bereaved of both father and mother
ounce,the twelfth part of a troy pound
outbreak,a bursting forth
outburst,a bursting forth
outcome,upshot
outer,the part of a target which is beyond the circles surrounding the bull ' s - eye
outfit,"the expense of , or allowance made for , equipment , as by the government of the united states to a diplomatic agent going abroad"
outlet,a vent
outline,the delineation of a figure without shading
outlook,the act of looking out
outrage,a gross violation of right or decency
oval,"a body or figure in the shape of an egg , or popularly , of an ellipse"
oven,"a place arched over with brick or stonework , and used for baking , heating , or drying"
overcoat,a topcoat
overthrow,ruin
owl,a variety of the domestic pigeon
owner,"one who has the legal or rightful title , whether he is the possessor or not"
ownership,legal or just claim or title
oxygen,"a colorless , tasteless , odorless , gaseous element of atomic number 8 , occurring in the free state in the atmosphere , of which it forms about 23 per cent by weight and about 21 per cent by volume , being slightly heavier than nitrogen"
pace,gait
pack,a full set of playing cards
package,a parcel
packet,a little bundle or parcel
packing,"the substance in a stuffing box , through which a piston rod slides"
padre,a chaplain in one of the military services
pagan,one who worships false gods
page,a record
pail,"a vessel of wood or tin , etc"
pain,a smart
pains,labor
paint,a pigment or coloring substance
painter,"a rope at the bow of a boat , used to fasten it to anything"
painting,the work of the painter
pair,a couple
palace,"loosely , any unusually magnificent or stately house"
pale,a fence
pallor,paleness
palm,a hand
pamphlet,a book
pan,a closed vessel for boiling or evaporating
pang,a paroxysm of extreme pain or anguish
panic,terror inspired by a trifling cause or a misapprehension of danger
papa,a parish priest in the greek church
paper,a writing
parade,"an assembly and orderly arrangement or display of troops , in full equipments , for inspection or evolutions before some superior officer"
paradise,a state of happiness
paragraph,a distinct part of a discourse or writing
parallel,"a line which , throughout its whole extent , is equidistant from another line"
parapet,"a wall , rampart , or elevation of earth , for covering soldiers from an enemy ' s fire"
parcel,a package
parchment,"the skin of a lamb , sheep , goat , young calf , or other animal , prepared for writing on"
pardon,the state of being forgiven
parent,begetter
parish,"an ecclesiastical society , usually not bounded by territorial limits , but composed of those persons who choose to unite under the charge of a particular priest , clergyman , or minister"
park,"a piece of ground inclosed , and stored with beasts of the chase , which a man may have by prescription , or the king ' s grant"
parliament,"the assembly of the three estates of the united kingdom of great britain and ireland , viz"
parlor,"commonly , in the united states , a drawing - room , or the room where visitors are received and entertained"
parson,a preacher
participation,"the act or state of participating , or sharing in common with others"
particle,the smallest portion
particular,one of the details or items of grounds of claim
parting,a surface or line of separation where a division occurs
partition,that which divides or separates
partner,a husband or a wife
partnership,a house
party,a detachment
passage,transit by means of conveyance
pass,a movement of the hand over or along anything
passenger,a passer or passer - by
passing,"the act of one who , or that which , passes"
passion,"any emotion or sentiment ( specifically , love or anger ) in a state of abnormal or controlling activity"
passport,permission to pass
paste,"a soft composition , as of flour moistened with water or milk , or of earth moistened to the consistence of dough , as in making potter ' s ware"
pastor,a guardian
pastoral,a poem in which the speakers assume the character of shepherds
pasture,"grass land for cattle , horses , etc"
pat,a tap
patch,"a small piece of black silk stuck on the face , or neck , to hide a defect , or to heighten beauty"
patent,a writing securing to an invention
pathos,"contagious warmth of feeling , action , or expression"
path,route
pathway,a footpath
patience,forbearance
patient,"one who , or that which , is passively affected"
patriotism,the virtues and actions of a patriot
patronage,special countenance or support
patron,a man of distinction under whose protection another person placed himself
pattern,a sample
patty,a little pie
pause,suspension
pavement,that with which anything is paved
pavilion,a marquee
payment,the discharge of a debt or an obligation
pay,payment
peace,calm
peak,the sharp end or top of anything that terminates in a point
pearl,something very precious
peasant,a countryman
peculiar,a characteristic
peculiarity,a special and distinctive characteristic or habit
peep,a sly look
peer,a fellow
peg,"one of the pins of a musical instrument , on which the strings are strained"
penalty,punishment for crime or offense
penance,any act performed by a person to atone for an offense to another
pencil,in general the act or occupation of the artist descriptive writer etc
peninsula,"a portion of land nearly surrounded by water , and connected with a larger body by a neck , or isthmus"
penitent,one undergoing penance
penny,any small sum or coin
pension,"a boarding house or boarding school in france , belgium , switzerland , etc"
pen,the internal shell of a squid
people,"population , or part of population"
percentage,a certain rate per cent
perception,cognizance by the senses or intellect
perch,in land or square measure : a square rod
perfection,the divine attribute of complete excellence
performance,the carrying into execution or action
perfume,aroma
periodical,a magazine or other publication which appears at stated or regular intervals
period,"more generally , an interval of time specified or left indefinite"
permission,authorization
permit,permission
perpendicular,a vertical line or direction
perplexity,embarrassment
persecution,the infliction of loss pain or death for adherence to a particular creed or mode of worship
perseverance,"continued pursuit or prosecution of any business , or enterprise begun"
personage,character assumed or represented
personal,a chattel
personality,"that quality of a law which concerns the condition , state , and capacity of persons"
person,body
perspective,that which is seen through an opening
perspiration,that which is excreted through the skin
persuasion,the state of being persuaded or convinced
perusal,"the act of reading , especially of reading through or with care"
pestilence,"specifically , the disease known as the plague"
pet,a darling
peter,a common baptismal name for a man
petition,"a prayer to the supreme being , or to a person of superior power , rank , or authority"
phantom,a phantasm
phase,"the appearance which anything manifests , especially any one among different and varying appearances of the same object"
phenomenon,an appearance
philosopher,one who lives according to the rules of practical wisdom
philosophy,equanimity
photograph,a picture or likeness obtained by photography
phrase,"a brief expression , sometimes a single word , but usually two or more words forming an expression by themselves , or being a portion of a sentence"
physician,a doctor of medicine
piano,"a well - known musical instrument somewhat resembling the harpsichord , and consisting of a series of wires of graduated length , thickness , and tension , struck by hammers moved by keys"
pick,choice
picnic,"now , an excursion or pleasure party in which the members partake of a collation or repast ( usually in the open air , and from food carried by themselves )"
picture,a model
pie,"any other species of the genus pica , and of several allied genera"
piece,"a fragment or part of anything separated from the whole , in any manner , as by cutting , splitting , breaking , or tearing"
pier,"any detached mass of masonry , whether insulated or supporting one side of an arch or lintel , as of a bridge"
piety,"veneration or reverence of the supreme being , and love of his character"
pig,"the young of swine , male or female"
pile,the fiber of wool cotton and the like
pilgrimage,a journey to a shrine or other sacred place
pilgrim,"one who travels far , or in strange lands , to visit some holy place or shrine as a devotee"
pillar,a column or shaft not supporting a superstructure as one erected for a monument or an ornament
pillow,"a kind of plain , coarse fustian"
pilot,a steersman
pin,a bolt
pinch,any very small quantity
pine,a pineapple
pink,a vessel with a very narrow stern
pint,"a measure of capacity , equal to half a quart , or four gills , -- used in liquid and dry measures"
pioneer,"a soldier detailed or employed to form roads , dig trenches , and make bridges , as an army advances"
pipe,"any long tube or hollow body of wood , metal , earthenware , or the like : especially , one used as a conductor of water , steam , gas , etc"
pirate,one who by open violence takes the property of another on the high seas
pistol,"the smallest firearm used , intended to be fired from one hand , -- now of many patterns , and bearing a great variety of names"
pitcher,"specifically baseball , the player who delivers the ball to the batsman"
pitch,the extreme point or degree of elevation or depression
pit,in which material is made by burning
pity,a feeling for the sufferings or distresses of another or others
place,an area
plague,a blow
plain,level land
plan,a method of action or procedure expressed or described in language
plane,a surface without curvature
planet,"a star , as influencing the fate of a men"
plank,"that which supports or upholds , as a board does a swimmer"
plant,a stick or staff
plantation,in the united states and west indies a large estate appropriated to the production of the more important crops and cultivated by laborers who live on the estate
planting,that which is planted
plaster,"a composition of lime , water , and sand , with or without hair as a bond , for coating walls , ceilings , and partitions of houses"
plateau,a flat surface
plate,metallic armor composed of broad pieces
platform,a standing place
player,one without serious aims
play,sport
plea,a cause in court
pleading,"the act of advocating , defending , or supporting , a cause by arguments"
pleasure,will
pledge,a bail
plenty,ample supply for human wants
plight,state
plot,an intrigue
pluck,fortitude
plunder,the act of plundering or pillaging
plunge,"the act of pitching or throwing one ' s self headlong or violently forward , like an unruly horse"
plural,that form of a word which expresses or denotes more than one
pocket,"a small bag inserted in a garment for carrying small articles , particularly money"
poem,"a composition in verse written in certain measures , whether in blank verse or in rhyme , and characterized by imagination and poetic diction"
poetry,poems collectively
point,a tract of land extending into the water beyond the common shore line
poison,"any agent which , when introduced into the animal organism , is capable of producing a morbid , noxious , or deadly effect upon it"
pole,"a point of maximum intensity of a force which has two such points , or which has polarity"
policeman,a constable
police,the internal regulation of a state
policy,a method of gambling by betting as to what numbers will be drawn in a lottery
polish,a gloss or luster
politeness,obliging attentions
politician,one devoted to politics
politics,the conduct and contests of parties with reference to political measures or the administration of public affairs
pomp,display
pond,"a body of water , naturally or artificially confined , and usually of less extent than a lake"
pony,a small horse
pool,a reservoir for water
poor,a small european codfish
pope,a fish
populace,the common people
popularity,cheapness
population,"the whole number of people , or inhabitants , in a country , or portion of a country"
porch,"a covered and inclosed entrance to a building , whether taken from the interior , and forming a sort of vestibule within the main wall , or projecting without and with a separate roof"
pork,"the flesh of swine , fresh or salted , used for food"
port,a porthole
porter,a man who has charge of a door or gate
portion,a part assigned
portrait,"commonly , a representation of the human face painted from real life"
pose,an artificial position
position,the manner in which anything is placed
positive,that which settles by absolute appointment
possession,actual seizin or occupancy
possessor,a proprietor
possibility,a thing or event that may not happen
post,a military station
posterity,the aggregate number of persons who are descended from an ancestor of a generation
posture,"fine arts , the position of a figure with regard to the several principal members by which action is expressed"
pot,a mug
potato,"a plant of the nightshade family , and its esculent farinaceous tuber , of which there are numerous varieties used for food"
potent,a surface composed of patches which are supposed to represent crutch heads
pound,a certain specified weight
pour,a flood
poverty,want or scarcity of means of subsistence
powder,dust
power,"same as poor , the fish"
practice,habitual performance
prairie,a meadow or tract of grass
praise,approbation
prayer,a supplication addressed to god
preaching,the act of delivering a religious discourse
precaution,caution previously employed to prevent mischief or secure good
precedent,an authority to be followed in courts of justice
precipice,an abrupt declivity
precipitate,"atmospheric moisture condensed as rain or snow , etc"
precision,exact limitation
predecessor,"one whom another follows or comes after , in any office or position"
preface,"something spoken as introductory to a discourse , or written as introductory to a book or essay"
preference,precedence
prejudice,injury
preliminary,something introductory or preparatory
preparation,readiness
presence,"the part of space within one ' s ken , call , influence , etc"
present,a gift
presentation,"the act of presenting , or the state of being presented"
preservation,security
preserve,that which is preserved
president,"the chief officer of a corporation , company , institution , society , or the like"
press,the art or business of printing and publishing
pressure,a squeezing
prestige,force or charm derived from acknowledged character or reputation
pretext,disguise
prey,anything taken by force from an enemy in war
price,worth
pride,inordinate self - esteem
priesthood,the priestly function
priest,one who acts as a mediator between men and the divinity or the gods in any form of religion
primary,a caucus
prime,"the beginning or opening , as of the day , the year , etc"
primitive,a word not derived from another
prince,in spain he is always one of the royal family
princess,"a woman having sovereign power , or the rank of a prince"
principal,one who takes the lead
principle,a general truth
print,a stamp or die for molding or impressing an ornamental design upon an object
printing,typography
prior,"the superior of a priory , and next below an abbot in dignity"
prison,"a place where persons are confined , or restrained of personal liberty"
prisoner,"a person under arrest , or in custody , whether in prison or not"
privacy,a place of seclusion from company or observation
private,a soldier below the grade of a noncommissioned officer
privilege,franchise
prize,property captured at sea in virtue of the rights of war as a vessel
probability,the quality or state of being probable
procedure,the steps taken in an action or other legal proceeding
proceeding,"the act of one who proceeds , or who prosecutes a design or transaction"
procession,"the act of proceeding , moving on , advancing , or issuing"
process,regular proceeding
proclamation,official or general notice
produce,yield
product,"anything that is produced , whether as the result of generation , growth , labor , or thought , or by the operation of involuntary causes"
production,the act of lengthening out or prolonging
professional,"a person who prosecutes anything professionally , or for a livelihood , and not in the character of an amateur"
profession,that of which one professed knowledge
profile,"a section of any member , made at right angles with its main lines , showing the exact shape of moldings and the like"
profit,acquisition beyond expenditure
profound,the ocean
profusion,exuberant plenty
progress,increase
prohibition,"specifically , the forbidding by law of the sale of alcoholic liquors as beverages"
project,a design
promotion,preferment
prompt,"a limit of time given for payment of an account for produce purchased , this limit varying with different goods"
proof,impenetrability of physical bodies
property,title
prophecy,a declaration of something to come
prophet,"one inspired or instructed by god to speak in his name , or announce future events ,"
proposal,terms or conditions proposed
proposition,a proposal
proprietary,"one who possesses , or holds the title to , a thing in his own right"
proprietor,an owner
propriety,suitableness to an acknowledged or correct standard or rule
prosecution,"the institution , or commencement , and continuance of a criminal suit"
prose,dull and commonplace discourse
