abandon,freedom from artificial constraint
kind,nature
kindness,a kind act
kindred,persons related to each other
king,a sovereign
kingdom,royal authority
kin,"near connection or alliance , as of those having common descent"
kiss,a small piece of confectionery
kitchen,"the room of a house , restaurant , or other building appropriated to cookery"
knave,"a tricky , deceitful fellow"
knee,"in man , the joint in the middle part of the leg"
knife,"an instrument consisting of a thin blade , usually of steel and having a sharp edge for cutting , fastened to a handle , but of many different forms and names for different uses"
knight,a champion
knitting,the work of a knitter
knit,union knitting
knock,a blow
knocking,a rap
knot,"a lump or loop formed in a thread , cord , rope"
knowing,experience
knowledge,enlightenment
laboratory,a place devoted to experiments in any branch of natural science
labor,that which requires hard work for its accomplishment
lace,"that which binds or holds , especially by being interwoven"
lack,failure
lad,a stripling
ladder,"a frame usually portable , of wood , metal , or rope , for ascent and descent , consisting of two side pieces to which are fastened cross strips or rounds forming steps"
lady,a woman to whom one is devoted or bound
lake,"a pigment formed by combining some coloring matter , usually by precipitation , with a metallic oxide or earth , especially with aluminium hydrate"
lamb,"a simple , unsophisticated person"
lament,"an elegy or mournful ballad , or the like"
lamp,a similar device using a gas as the combustible fuel
lance,"a spear carried by horsemen , and often decorated with a small flag"
land,"any portion , large or small , of the surface of the earth , considered by itself , or as belonging to an individual or a people , as a country , estate , farm , or tract"
landing,a going or bringing on shore
landscape,the pictorial aspect of a country
lane,"a narrow way among trees , rocks , and other natural obstructions"
language,any means of conveying or communicating ideas
lantern,"something inclosing a light , and protecting it from wind , rain , etc"
lap,"figuratively , a place of rearing and fostering"
lapse,"a gliding , slipping , or gradual falling"
lark,a jolly time
lash,a stroke of satire or sarcasm
lasting,the act or process of shaping on a last
last,"of gunpowder , twenty - four barrels , each containing 100 lbs"
later,a brick or tile
latitude,freedom from confinement or restraint
laugh,an expression of mirth peculiar to the human species
laughter,"a movement ( usually involuntary ) of the muscles of the face , particularly of the lips , with a peculiar expression of the eyes , indicating merriment , satisfaction , or derision , and usually attended by a sonorous and interrupted expulsion of air from the lungs"
launch,an open boat of any size driven by steam naphtha electricity or the like
lava,the melted rock ejected by a volcano from its top or fissured sides
law,"a rule of living , conformable to righteousness"
lawn,an open space between woods
lawyer,the bowfin
layer,"a shoot or twig of a plant , not detached from the stock , laid under ground for growth or propagation"
laying,a clutch
lay,that which lies or is laid or is conceived of as having been laid or placed in its position
lead,direction
leader,one having authority to direct
leadership,the quality of character and personality giving a person the ability to gain the confidence of and lead others
leading,"the act of guiding , directing , governing , or enticing"
leaf,a part of a book or folded sheet containing two pages upon its opposite sides
league,"an alliance or combination of two or more nations , parties , organizations , or persons , for the accomplishment of a purpose which requires a continued course of action , as for mutual defense , or for furtherance of commercial , religious , or political interests , etc"
leaning,tendency
lean,that part of flesh which consists principally of muscle without the fat
leap,"the act of leaping , or the space passed by leaping"
learning,literature
lease,the contract for such letting
leather,dressed hides collectively
leave,license
lecture,a rehearsal of a lesson
ledge,"a shelf , ridge , or reef , of rocks"
left,those members of a legislative assembly ( as in france ) who are in the opposition
legacy,"a gift of property by will , especially of money or personal property"
legend,one of a marvelous nature
legislation,the laws enacted
legislature,the body of persons in a state or kingdom invested with power to make and repeal laws
leg,that part of the limb between the knee and foot
leisure,convenient opportunity
lemon,"an oval or roundish fruit resembling the orange , and containing a pulp usually intensely acid"
length,duration
lesson,"instruction derived from precept , experience , observation , or deduction"
let,delay
letter,one who lets anything for hire
level,"an approximately horizontal line or surface at a certain degree of altitude , or distance from the center of the earth"
lever,"an arm on a rock shaft , to give motion to the shaft or to obtain motion from it"
liability,the state of being liable
liar,one who lies
liberal,one who favors greater freedom in political or religious matters
liberty,a privilege conferred by a superior power
library,a building or apartment appropriated for holding such a collection of books
license,a grant of permission
lid,a movable cover
lie,a fiction
lied,a german song
lieu,room
lieutenant,"a commissioned officer in the british navy , in rank next below a commander"
life,"sometimes , the deathless quality or existence of the soul"
lift,help
light,day
lighter,"a large boat or barge , mainly used in unloading or loading vessels which can not reach the wharves at the place of shipment or delivery"
lighting,a name sometimes applied to the process of annealing metals
lightness,delicacy
lightning,"a discharge of atmospheric electricity , accompanied by a vivid flash of light , commonly from one cloud to another , sometimes from a cloud to the earth"
likeness,similarity
liking,preference
lily,that end of a compass needle which should point to the north
limb,"the border or edge of the disk of a heavenly body , especially of the sun and moon"
lime,a thong by which a dog is led
limestone,a rock consisting chiefly of calcium carbonate or carbonate of lime
limitation,the time during which they were permitted to exercise their functions in such a district
limit,the space or thing defined by limits
limp,a scraper for removing poor ore or refuse from the sieve
linen,thread or cloth made of flax or ( rarely ) of hemp
line,the course followed by anything in motion
lining,"that which covers the inner surface of anything , as of a garment or a box"
link,a bond
links,a tract of ground laid out for the game of golf
lion,"the mane is darker , and the terminal tuft of the tail is black"
lip,an edge of an opening
liquid,any substance in the state of liquidity
liquor,a solution of a medicinal substance in water
list,a limit or boundary
listener,one who listens
listing,the act or process of one who lists ( in any sense of the verb )
literature,"the collective body of literary productions , embracing the entire results of knowledge and fancy preserved in writing"
litter,"straw , hay , etc"
livelihood,"subsistence or living , as dependent on some means of support"
liver,"one who , or that which , lives"
living,estate
load,a burden
loaf,"any thick lump , mass , or cake"
loan,permission to use
locality,a spot
location,a tract of land designated in place
lock,a fastening together or interlacing
lodge,a den or cave
lodging,cover
log,"a hebrew measure of liquids , containing 2"
logic,the science of correct reasoning
loneliness,solitude
longing,a morbid appetite
longitude,measure or distance along the longest line
long,the longest dimension
look,a glance
looking,a glance
lookout,a careful looking or watching for any object or event
loose,a letting go
lord,a prince
lordship,power
lore,advice
loss,the act of losing
lot,fortune
love,a feeling of strong attachment induced by that which delights or commands admiration
lover,a friend
lower,sullenness
low,"the lowest trump , usually the deuce"
loyalty,the state or quality of being loyal
luck,a course or series of such events regarded as occurring by chance
luggage,a traveler ' s trunks baggage etc
lumber,old or refuse household stuff
lump,an irregular or shapeless mass
lunch,a luncheon
luncheon,"a lunch , especially one organized by a group as a formal social gathering"
lust,licentious craving
luxury,"anything which pleases the senses , is not necessary for life , and is also costly , or difficult to obtain"
lyric,the words of a song
machine,a coach
machinery,"the working parts of a machine , engine , or instrument"
madam,a gentlewoman
mad,an earthworm
madness,ungovernable rage
magazine,the building or room in which the supply of powder is kept in a fortification or a ship
magician,a conjurer
magic,the art of creating illusions which appear to the observer to be inexplicable except by some supernatural influence
magistrate,a person clothed with power as a public civil officer
magnetic,"any metal , as iron , nickel , cobalt , etc"
magnificence,the state or quality of being magnificent
magnitude,extent of dimensions
maid,a female servant
maiden,an unmarried woman
mail,"the bag or bags with the letters , papers , or other matter contained therein , conveyed under public authority from one post office to another"
main,"a throw at dice within given limits , as in the game of hazard"
mainland,the continent
maintenance,defense
majority,the greater number
major,the lowest field officer
maker,a manufacturer
make,"structure , texture , constitution of parts"
making,workmanship
malice,"an intention to vex , annoy , or injure another person , or to do a wrongful act without just cause or cause or excuse"
malignant,a man of extreme enmity or evil intentions
management,"the manner of treating , directing , carrying on , or using , for a purpose"
manager,a contriver
mane,"the long and heavy hair growing on the upper side of , or about , the neck of some quadrupedal animals , as the horse , the lion , etc"
manhood,resolution
manifest,"a list or invoice of a ship ' s cargo , containing a description by marks , numbers , etc"
manifestation,"the act of manifesting or disclosing , or the state of being manifested"
manifold,the third stomach of a ruminant animal
mankind,"man , taken collectively"
manner,mode of action
mansion,a manor house
mantle,a cloak
manual,"specifically , the service book of the roman catholic church"
manufacture,"the operation of making wares or any products by hand , by machinery , or by other agency"
manure,any matter which makes land productive
manuscript,"writing , as opposed to print"
map,"a representation of the surface of the earth , or of some portion of it , showing the relative position of the parts represented"
marble,"a massive , compact limestone"
march,"the third month of the year , containing thirty - one days"
mare,the incubus
margin,a border
marine,the department of navigation and sea forces
mark,a trace
market,an opportunity for selling or buying anything
marking,arrangement or disposition of marks or coloring
marquis,"a nobleman in england , france , and germany , of a rank next below that of duke"
marriage,"legal union of a man and a woman for life , as husband and wife"
marshal,one who goes before a prince to declare his coming and provide entertainment
marsh,"a tract of soft wet land , commonly covered partially or wholly with water"
martyrdom,affliction
martyr,"one who , by his death , bears witness to the truth of the gospel"
marvel,that which causes wonder
mask,a delusive show
mason,one who prepares stone for building purposes
massacre,"the killing of a considerable number of human beings under circumstances of atrocity or cruelty , or contrary to the usages of civilized people"
mass,"a quantity of matter cohering together so as to make one body , or an aggregation of particles or things which collectively make one body or quantity , usually of considerable size"
masterpiece,a supreme achievement
master,the person to whom an apprentice is articled
mastery,dominion
mast,the vertical post of a derrick or crane
mat,"any similar flat object made of fabric or other material , such as rubber or plastic , placed flat on a surface for various uses , as for covering plant houses , putting beneath dishes or lamps on a table , securing rigging from friction , and the like"
match,a person or thing equal or similar to another
mate,one who customarily associates with another
material,the substance or matter of which anything is made or may be made
mathematics,the science of spatial and quantitative relations
matron,a woman of staid or motherly manners
matter,"the thing aimed at , treated of , or treated"
maturity,the state or quality of being mature
maxim,an established principle or proposition
maximum,the greatest quantity or value attainable in a given case
mayor,the chief magistrate of a city or borough
meadow,any field on which grass is grown for hay
meal,the quantity usually taken at one time with the purpose of satisfying hunger
meaning,sense
mean,middle rate or degree
meantime,the intervening time
measure,a fixed unit of quantity or extent
meat,animal muscle
mechanism,"the parts of a machine , taken collectively"
medal,"a piece of metal in the form of a coin , struck with a device , and intended to preserve the remembrance of a notable event or an illustrious person , or to serve as a reward"
medicine,"among the north american indians , any object supposed to give control over natural or magical forces , to act as a protective charm , or to cause healing"
meditation,reflection
medium,that by which the extremes are brought into connection
meeting,"a junction , crossing , or union"
meet,the persons who so assemble and the place of meeting
melancholy,gloominess
melody,the air or tune of a musical piece
melting,"the act of causing ( something ) to melt , or the process of becoming melted"
member,an organ
memorial,"a written representation of facts , addressed to the government , or to some branch of it , or to a society , etc"
memory,the actual and distinct retention and recognition of past ideas in the mind
menace,indication of a probable evil or catastrophe to come
mental,a plate or scale covering the mentum or chin of a fish or reptile
mention,"a speaking or notice of anything , -- usually in a brief or cursory manner"
merchandise,traffic
merchant,a trader
mercury,a latin god of commerce and gain
mercy,"forbearance to inflict harm under circumstances of provocation , when one has the power to inflict it"
mere,a pool or lake
meridian,culmination
merit,reward deserved
merry,a kind of wild red cherry
message,"any notice , word , or communication , written or verbal , sent from one person to another"
messenger,one who bears a message
mess,provision of food for a person or party for one meal
metal,the substance of which anything is made
method,classification
midday,the middle part of the day
middle,"the point or part equally distant from the extremities or exterior limits , as of a line , a surface , or a solid"
midnight,twelve o ' clock at night
midst,figuratively the condition of being surrounded or beset
mien,carriage
military,soldiery
militia,"in the widest sense , the whole military force of a nation , including both those engaged in military service as a business , and those competent and available for such service"
milk,an emulsion made by bruising seeds
mill,a machine for grinding and polishing
millennium,a period of one thousand years
miller,a moth or lepidopterous insect
millionaire,a person worth a million or more
million,the mass of common people
mind,opinion
mineral,"an inorganic species or substance occurring in nature , having a definite chemical composition and usually a distinct crystalline form"
miniature,reduced scale
minimum,a thing of small consequence
mining,the act or business of making mines or of working them
minister,an officer or assistant of inferior rank
ministry,"the office , duties , or functions of a minister , servant , or agent"
minor,"in england and the united states , one under twenty - one years of age"
minority,the smaller number
minute,sixty seconds
miracle,a wonder or wonderful thing
mirror,"that which gives a true representation , or in which a true image may be seen"
mirth,gayety accompanied with laughter
mischief,harm
misery,misfortune
misfortune,calamity
mission,a delegation
missionary,one who is sent on a mission
mistake,an unintentional error of conduct
mist,fog
mistress,"a woman who exercises authority , is chief , etc"
misunderstanding,quarrel
mixture,that which results from mixing different ingredients together
moan,"a low prolonged sound , articulate or not , indicative of pain or of grief"
mob,an unlawful or riotous assembly
mock,a sneer
mode,fashion
model,"sometimes , a drawing"
moderate,"one of a party in the church of scotland in the 18th century , and part of the 19th , professing moderation in matters of church government , in discipline , and in doctrine"
moderation,equanimity
modesty,that lowly temper which accompanies a moderate estimate of one ' s own worth and importance
modification,state as modified
moisture,liquid in small quantity
moment,weight or value
monarch,a patron deity or presiding genius
monarchy,a kingdom
money,"any written or stamped promise , certificate , or order , as a government note , a bank note , a certificate of deposit , etc"
monk,"a blotch or spot of ink on a printed page , caused by the ink not being properly distributed"
monopoly,"the exclusive power , right , or privilege of dealing in some article , or of trading in some market"
monotony,"any irksome sameness , or want of variety"
monster,"any thing or person of unnatural or excessive ugliness , deformity , wickedness , or cruelty"
monthly,a publication which appears regularly once a month
month,one of the twelve portions into which the year is divided
monument,a memorial
mood,musical style
moon,"a secondary planet , whose light , borrowed from the sun , is reflected to the earth , and serves to dispel the darkness of night"
moonlight,the light of the moon
moor,any individual of the swarthy races of africa or asia which have adopted the mohammedan religion
morality,the relation of conformity or nonconformity to the moral standard or rule
moral,the doctrine or practice of the duties of life
morning,the goddess aurora
morrow,the day subsequent to any day specified or understood
morsel,a fragment
mortality,humanity
mortal,man
mortar,"a strong vessel , commonly in form of an inverted bell , in which substances are pounded or rubbed with a pestle"
mortgage,the written instrument by which the conveyance is made
moss,a place containing peat
mother,"a film or membrane which is developed on the surface of fermented alcoholic liquids , such as vinegar , wine , etc"
motion,direction of movement
motive,"the guiding or controlling idea manifested in a work of art , or any part of one"
motor,a prime mover
motto,"a short , suggestive expression of a guiding principle"
mound,"a regular and isolated hill , hillock , or knoll"
mount,a bank
mountain,"a large mass of earth and rock , rising above the common level of the earth or adjacent land"
mounting,equipment
mourning,sorrow
mouse,a knob made on a rope with spun yarn or parceling to prevent a running eye from slipping
mouth,the opening through which an animal receives food
movement,change of place or posture
move,one ' s turn
moving,the act of changing place or posture
mud,earth and water mixed so as to be soft and adhesive
mule,a hybrid animal
multitude,a crowd
murderer,"a person who , in possession of his reason , unlawfully kills a human being with premeditated malice"
murder,intentional and unlawful homicide
murmur,"a low , confused , and indistinct sound , like that of running water"
muscle,muscular strength or development
muse,absence of mind
museum,"a repository or a collection of natural , scientific , or literary curiosities , or of works of art"
musical,a drama in which music and song are prominent features
musician,a skilled singer or performer on a musical instrument
music,melody
mustache,a west african monkey
muster,the sum total of an army when assembled for review and inspection
mute,a person whose part in a play does not require him to speak
mutiny,generally forcible resistance to rightful authority
mutton,the flesh of a sheep
muzzle,a snout
mystery,something which has not been or can not be explained
mystic,one given to mysticism
myth,"a popular fable which is , or has been , received as historical"
mythology,a body of myths
nail,the basal thickened portion of the anterior wings of certain hemiptera
name,estimation
narrative,a continuous account of the particulars of an event or transaction
narrow,a contracted part of a stream lake or sea
nationality,"a race or people , as determined by common language and character , and not by political bias or divisions"
nation,a stock
native,a denizen by birth
natural,one born without the usual powers of reason or understanding
nature,"the powers which produce existing phenomena , whether in the total or in detail"
navigation,seamanship
navy,a fleet of ships
nay,a negative vote
necessary,a water - closet
necessity,a necessary
neck,"a long narrow tract of land projecting from the main body , or a narrow tract connecting two larger tracts"
necklace,a rope or chain fitted around the masthead to hold hanging blocks for jibs and stays
needle,a hooked instrument which carries the thread or twine and by means of which knots or loops are formed in the process of netting knitting or crocheting
need,poverty
negative,an opposite or contradictory term or conception
neglect,"failure to do , use , or heed anything"
negligence,heedlessness
negro,a black man
neighborhood,the inhabitants who live in the vicinity of each other
neighbor,one of the human race
nerve,physical force or steadiness
ness,a cape
nest,"the place in which the eggs of other animals , as insects , turtles , etc"
net,anything wrought or woven in meshes
network,a system of computers linked together by communications channels allowing the exchange of data between the linked computers
neutral,a person or a nation that takes no part in a contest between others
neutrality,state of taking no part on either side
newspaper,"a sheet of paper printed and distributed , at stated intervals , for conveying intelligence of passing events , advocating opinions , etc"
nick,an evil spirit of the waters
nightfall,the period at and just after dusk
night,intellectual and moral darkness
nineteenth,an interval of two octaves and a fifth
nineteen,the sum of ten and nine
nine,the number greater than eight by a unit
ninety,the number greater by a unit than eighty - nine
ninth,an interval containing an octave and a second
nobility,superiority of mind or of character
noble,"an english money of account , and , formerly , a gold coin , of the value of 6 s"
nobleman,a peer
nod,"a quick or slight downward or forward motion of the head , in assent , in familiar salutation , in drowsiness , or in giving a signal , or a command"
noise,loud or continuous talk
nominal,an appellation
nomination,designation of a person as a candidate for office
nonsense,"words , or language , which have no meaning , or which convey no intelligible ideas"
nook,a recess
noon,the time when the sun is in the meridian
normal,any perpendicular
north,the direction opposite to the south
northwest,"the point in the horizon between the north and west , and equally distant from each"
nose,a snout
notable,"a person , or thing , of distinction"
note,a distinctive mark or feature
notice,"an announcement , often accompanied by comments or remarks"
noun,a substantive
nourishment,food
nous,intellect
novel,a new or supplemental constitution
novelty,freshness
nuisance,that which annoys or gives trouble and vexation
number,a collection of many individuals
nun,"a woman devoted to a religious life , who lives in a convent , under the three vows of poverty , chastity , and obedience"
nurse,as : a woman who has the care of young children
nursery,"a place where young of any species , plant or animal , are nourished preparatory to transfer elsewhere"
nut,"the fruit of certain trees and shrubs ( as of the almond , walnut , hickory , beech , filbert , etc"
oath,"a solemn affirmation or declaration , made with a reverent appeal to god for the truth of what is affirmed"
obedience,subjection to rightful restraint or control
objection,"that which is , or may be , presented in opposition"
objective,an object glass
object,"that of which the mind by any of its activities takes cognizance , whether a thing external in space or a conception formed by the mind itself"
obligation,"the binding power of a promise , contract , oath , or vow , or of law"
oblivion,forgetfulness
obscurity,the quality or state of being obscure
observance,performance
observation,judgment
observer,"one who observes , or pays attention to , anything"
obstacle,"an obstruction , physical or moral"
obstinacy,"firm and usually unreasonable adherence to an opinion , purpose , or system"
occasion,convenience
occupation,the principal work by which one earns one ' s livelihood
occurrence,a coming or happening
ocean,an immense expanse
odor,"any smell , whether fragrant or offensive"
offense,a crime or a sin an affront or an injury
offensive,aggressive attitude
offer,a proffer
offering,"that which is presented as an expiation or atonement for sin , or as a free gift"
officer,"a person lawfully invested with an office , whether civil , military , or ecclesiastical"
office,"that which a person does , either voluntarily or by appointment , for , or with reference to , others"
official,a subordinate executive officer or attendant
oil,"any one of a great variety of unctuous combustible substances , more viscous than and not miscible with water"
olive,"a tree with small oblong or elliptical leaves , axillary clusters of flowers , and oval , one - seeded drupes"
omen,"an occurrence supposed to portend , or show the character of , some future event"
omission,neglect or failure to do something required by propriety or duty
onion,its bulbous root much used as an article of food
open,"clear land , without trees or obstructions"
opening,an opportunity
opera,a lyric drama
operation,agency
opinion,a notion or conviction founded on probable evidence
opponent,an adversary
opportunity,chance
opposition,situation so as to front something else
oppression,lassitude
oracle,the deity who was supposed to give the answer
orange,the tree that bears oranges
orator,one distinguished for his skill and power as a public speaker
oratory,the art of an orator
orchard,the fruit trees collectively
orchestra,the forward spectator section of the main floor in distinction from the parterre which is the rear section of the main floor
ordeal,"an ancient form of test to determine guilt or innocence , by appealing to a supernatural decision , -- once common in europe , and still practiced in the east and by savage tribes"
orderly,"a noncommissioned officer or soldier who attends a superior officer to carry his orders , or to render other service"
order,"of periods of time or occurrences , and the like"
ordinance,an edict or decree
ordinary,one who has immediate jurisdiction in matters ecclesiastical
ore,"a native metal or its compound with the rock in which it occurs , after it has been picked over to throw out what is worthless"
organ,a component part performing an essential office in the working of any complex machine
organism,an organized being
organization,an organized existence
original,first copy
originality,"ability to create new and original ideas , works of art , theories , etc"
originator,one who originates
origin,that from which anything primarily proceeds
ornament,embellishment
orphan,"sometimes , also , a child who has but one parent living"
ounce,"a weight , the sixteenth part of a pound avoirdupois , and containing 28"
outbreak,a sudden occurrence or manifestation
outburst,a bursting forth
outcome,consequence
outer,the part of a target which is beyond the circles surrounding the bull ' s - eye
outfit,any assemblage of objects required for or used in performing a task
outlet,a vent
outline,the delineation of a figure without shading
outlook,the place from which one looks out
outrage,injurious violence or wanton wrong done to persons or things
oval,"a body or figure in the shape of an egg , or popularly , of an ellipse"
oven,"a place arched over with brick or stonework , and used for baking , heating , or drying"
overcoat,a greatcoat
overthrow,the state of being overthrown
owl,a variety of the domestic pigeon
owner,"one who has the legal or rightful title , whether he is the possessor or not"
ownership,legal or just claim or title
oxygen,"a colorless , tasteless , odorless , gaseous element of atomic number 8 , occurring in the free state in the atmosphere , of which it forms about 23 per cent by weight and about 21 per cent by volume , being slightly heavier than nitrogen"
pace,a step
pack,a bundle made up and prepared to be carried
package,a packet
packet,a mail boat
packing,"the substance in a stuffing box , through which a piston rod slides"
padre,a priest of the native region
pagan,"one who is neither a christian , a mohammedan , nor a jew"
page,a writing
pail,"a vessel of wood or tin , etc"
pain,bodily suffering
pains,care or trouble taken
paint,a pigment or coloring substance
painter,"an artist who represents objects or scenes in color on a flat surface , as canvas , plaster , or the like"
painting,the work of the painter
pair,a brace
palace,"loosely , any unusually magnificent or stately house"
pale,a boundary
pallor,paleness
palm,a lineal measure equal either to the breadth of the hand or to its length from the wrist to the ends of the fingers
pamphlet,a writing
pan,a leaf of gold or silver
pang,a sudden and transitory agony
panic,"a sudden , overpowering fright"
papa,a parish priest in the greek church
paper,"a substance in the form of thin sheets or leaves intended to be written or printed on , or to be used in wrapping"
parade,a review of troops
paradise,a region of supreme felicity or delight
paragraph,"any section or subdivision of a writing or chapter which relates to a particular point , whether consisting of one or many sentences"
parallel,similarity
parapet,"a wall , rampart , or elevation of earth , for covering soldiers from an enemy ' s fire"
parcel,a bundle
parchment,"the envelope of the coffee grains , inside the pulp"
pardon,the state of being forgiven
parent,that which produces
parish,loosely the territory in which the members of a congregation live
park,"a piece of ground inclosed , and stored with beasts of the chase , which a man may have by prescription , or the king ' s grant"
parliament,a general council
parlor,"in large private houses , a sitting room for the family and for familiar guests , -- a room for less formal uses than the drawing - room"
parson,a preacher
participation,"the act or state of participating , or sharing in common with others"
particle,a minute part or portion of matter
particular,one of the details or items of grounds of claim
parting,a separation
partition,the act of parting or dividing
partner,"one who shares as a member of a partnership in the management , or in the gains and losses , of a business"
partnership,joint possession or interest
party,"a number of persons united in opinion or action , as distinguished from , or opposed to , the rest of a community or association"
passage,movement from point to point
pass,a thrust or push
passenger,"a traveler by some established conveyance , as a coach , steamboat , railroad train , etc"
passing,the act of going by or away
passion,a passive condition
passport,"a document given by the competent officer of a state , permitting the person therein named to pass or travel from place to place , without molestation , by land or by water"
paste,"a kind of cement made of flour and water , starch and water , or the like , -- used for uniting paper or other substances , as in bookbinding , etc"
pastoral,a composition for instruments characterized by simplicity and sweetness
pastor,"a species of starling , native of the plains of western asia and eastern europe"
pasture,pasturage
pat,a tap
patch,"a piece of cloth , or other suitable material , sewed or otherwise fixed upon a garment to repair or strengthen it , especially upon an old garment to cover a hole"
patent,a writing securing to an invention
path,"a way , course , or track , in which anything moves or has moved"
pathos,transitory and idiosyncratic dispositions or feelings as distinguished from those which are universal and deep - seated in character
pathway,any path or course
patience,constancy in labor or application
patient,a person under medical or surgical treatment
patriotism,devotion to the welfare of one ' s country
patron,a defender
patronage,special countenance or support
pattern,a sample
patty,a little pie
pause,hesitation
pavement,that with which anything is paved
pavilion,"a flag , colors , ensign , or banner"
payment,that which is paid
pay,payment
peace,freedom from disturbance or agitation
peak,"often , the whole hill or mountain , especially when isolated"
pearl,something very precious
peasant,a rustic
peculiar,a particular parish or church which is exempt from the jurisdiction of the ordinary
peculiarity,that which is peculiar
peep,the cry of a young chicken
peer,a fellow
peg,"one of the pins of a musical instrument , on which the strings are strained"
penalty,penal retribution
penance,"a means of repairing a sin committed , and obtaining pardon for it , consisting partly in the performance of expiatory rites , partly in voluntary submission to a punishment corresponding to the transgression , imposed by a confessor or other ecclesiastical authority"
pen,"a writer , or his style"
pencil,"a slender cylinder or strip of black lead , graphite , colored chalk , slate etc"
peninsula,"a portion of land nearly surrounded by water , and connected with a larger body by a neck , or isthmus"
penitent,one undergoing penance
penny,any small sum or coin
pension,"payment made to one retired from service , on account of age , disability , or other cause"
people,"the body of persons who compose a community , tribe , nation , or race"
percentage,a certain rate per cent
perception,cognition
perch,in land or square measure : a square rod
perfection,entire development
performance,an action of an elaborate or public character
perfume,a substance that emits an agreeable odor
periodical,a magazine or other publication which appears at stated or regular intervals
period,"more generally , an interval of time specified or left indefinite"
permission,the act of permitting or allowing
permit,"a large pompano of the west indies , florida , etc"
perpendicular,a vertical line or direction
perplexity,complication
persecution,the infliction of loss pain or death for adherence to a particular creed or mode of worship
perseverance,continuance in a state of grace until it is succeeded by a state of glory
personage,"form , appearance , or belongings of a person"
person,a human being
personal,a chattel
personality,personal remarks
perspective,that which is seen through an opening
perspiration,sweat
persuasion,"settled opinion or conviction , which has been induced"
perusal,"the act of reading , especially of reading through or with care"
pestilence,"that which is pestilent , noxious , or pernicious to the moral character of great numbers"
pet,any person especially cherished and indulged
peter,a common baptismal name for a man
petition,a supplication
phantom,an ideal image
phase,a particular appearance or state in a regularly recurring cycle of changes with respect to quantity of illumination or form of enlightened disk
phenomenon,"whatever , in matter or spirit , is apparent to , or is apprehended by , observation"
philosopher,one who reduces the principles of philosophy to practice in the conduct of life
philosophy,"literally , the love of , inducing the search after , wisdom"
photograph,a picture or likeness obtained by photography
phrase,diction
physician,figuratively one who ministers to moral diseases
piano,"a well - known musical instrument somewhat resembling the harpsichord , and consisting of a series of wires of graduated length , thickness , and tension , struck by hammers moved by keys"
pick,choice
picnic,"now , an excursion or pleasure party in which the members partake of a collation or repast ( usually in the open air , and from food carried by themselves )"
picture,a model
piece,"a fragment or part of anything separated from the whole , in any manner , as by cutting , splitting , breaking , or tearing"
pier,"any detached mass of masonry , whether insulated or supporting one side of an arch or lintel , as of a bridge"
pie,the service book
piety,"veneration or reverence of the supreme being , and love of his character"
pig,a hog
pile,a hair
pilgrimage,a long journey
pilgrim,a stranger
pillar,a supporter or mainstay
pillow,a sack or case filled with feathers down hair or other soft material
pilot,one employed to steer a vessel
pin,a bolt
pinch,a nip
pine,a pineapple
pink,a stab
pint,"a measure of capacity , equal to half a quart , or four gills , -- used in liquid and dry measures"
pioneer,"one who goes before , as into the wilderness , preparing the way for others to follow"
pipe,"any long tube or hollow body of wood , metal , earthenware , or the like : especially , one used as a conductor of water , steam , gas , etc"
pirate,a robber on the high seas
pistol,"the smallest firearm used , intended to be fired from one hand , -- now of many patterns , and bearing a great variety of names"
pitch,"a cast , as of something from the hand"
pitcher,"specifically baseball , the player who delivers the ball to the batsman"
pit,in which material is made by burning
pity,commiseration
place,a court or short part of a street open only at one end
plague,a calamity
plain,"usually , an open field or a broad stretch of land with an even surface , or a surface little varied by inequalities"
plan,a project
plane,a surface without curvature
planet,a celestial body which revolves about the sun in an orbit of a moderate degree of eccentricity
plank,"that which supports or upholds , as a board does a swimmer"
plantation,the place planted
planting,"the act or operation of setting in the ground for propagation , as seeds , trees , shrubs , etc"
plant,sometimes including real estate and whatever represents investment of capital in the means of carrying on a business but not including material worked upon or finished products
plaster,calcined gypsum used as a fertilizer
plateau,a table - land
plate,metallic armor composed of broad pieces
platform,a declared policy or system
player,a trifler
play,sport
plea,a lawsuit
pleading,"the act of advocating , defending , or supporting , a cause by arguments"
pleasure,will
pledge,the contract created between the debtor and creditor by a thing being so delivered or deposited forming a species of bailment
plenty,"specifically , abundant productiveness of the earth"
plight,that which is exposed to risk
plot,"any scheme , stratagem , secret design , or plan , of a complicated nature , adapted to the accomplishment of some purpose , usually a treacherous and mischievous one"
pluck,spirit
plunder,that which is taken by theft or fraud
plunge,"a dive , leap , rush , or pitch into , or as into , water"
plural,that form of a word which expresses or denotes more than one
pocket,"a socket for receiving the foot of a post , stake , etc"
poem,"a composition , not in verse , of which the language is highly imaginative or impassioned"
poetry,"imaginative language or composition , whether expressed rhythmically or in prose"
point,"anything which tapers to a sharp , well - defined termination"
poison,"any agent which , when introduced into the animal organism , is capable of producing a morbid , noxious , or deadly effect upon it"
pole,either extremity of an axis of a sphere
policeman,a member of a body of police
police,"the administration of the laws and regulations of a city , incorporated town , or borough"
policy,"a system of public or official administration , as designed to promote the external or internal prosperity of a state"
polish,refinement
politeness,urbanity
politician,a schemer
politics,the advancement of candidates to office
pomp,power
pond,"a body of water , naturally or artificially confined , and usually of less extent than a lake"
pony,twenty - five pounds sterling
pool,the receptacle for the stakes
poor,a small european codfish
pope,a fish
