abandon,careless freedom or ease
lever,"a bar , as a capstan bar , applied to a rotatory piece to turn it"
lever,"a rigid piece which is capable of turning about one point , or axis ( the fulcrum ), and in which are two or more other points where forces are applied"
liability,"that which one is under obligation to pay , or for which one is liable"
liar,a person who knowingly utters falsehood
liberal,a reformer
liberal,one who favors greater freedom in political or religious matters
liberty,a privilege conferred by a superior power
liberty,"freedom from imprisonment , bonds , or other restraint upon locomotion"
liberty,permission granted
library,"a considerable collection of books kept for use , and not as merchandise"
license,the document granting such permission
lieutenant,"a commissioned officer in the army , next below a captain"
life,of human beings : the union of the soul and body
lighter,"a large boat or barge , mainly used in unloading or loading vessels which can not reach the wharves at the place of shipment or delivery"
lightness,buoyancy
lightness,"the state , condition , or quality , of being light or not heavy"
likeness,that which closely resembles
lily,that end of a compass needle which should point to the north
limb,"a border or edge , in certain special uses"
limb,a part of a tree which extends from the trunk and separates into branches and twigs
limb,"a thing or person regarded as a part or member of , or attachment to , something else"
line,a cord of any thickness
line,"a more or less threadlike mark of pen , pencil , or graver"
line,"a slender , strong cord"
linen,thread or cloth made of flax or ( rarely ) of hemp
line,the course followed by anything in motion
link,a golf course
liquid,"a fluid that is not gaseous and has a definite volume independent , of the container in which it is held"
liquid,"a letter which has a smooth , flowing sound , or which flows smoothly after a mute"
liquid,any substance in the state of liquidity
liquor,a solution of a medicinal substance in water
list,a fillet
list,"a line inclosing or forming the extremity of a piece of ground , or field of combat"
list,in the plural ( lists ) the ground or field inclosed for a race or combat
litter,scattered rubbish
livelihood,"subsistence or living , as dependent on some means of support"
liver,a dweller
living,manner of life
living,"the state of one who , or that which , lives"
load,a burden
load,that which is borne or sustained
load,the quantity which can be carried or drawn in some specified way
loaf,"any thick lump , mass , or cake"
loan,a lending
locality,a geographical place or situation as of a mineral or plant
locality,a place
locality,a spot
location,locality
lock,a fastening together or interlacing
lock,"a flock or small quantity of wool , hay , or other like substance"
lock,a tress or ringlet of hair
lodge,a rude cabin
lodge,a shed
log,an apparatus for measuring the rate of a ship ' s motion through the water
logic,the science of correct reasoning
logic,"the science of generalization , judgment , classification , reasoning , and systematic arrangement"
log,the full nautical record of a ship ' s cruise or voyage
longing,an eager desire
look,a glance
looking,the act of one who looks
lord,"a bishop , as a member of the house of lords"
lord,a titled nobleman
lordship,authority
lordship,dominion
lordship,"with his or your ), a title applied to a lord except an archbishop or duke , who is called grace ) or a judge in great britain ), etc"
lore,advice
lore,instruction
lore,"the knowledge gained from tradition , books , or experience"
loss,privation
lot,accident
lot,fate
love,courtship
love,devoted attachment to or tender or passionate affection for one of the opposite sex
love,pre ë minent kindness or devotion to another
lover,one who greatly desires the welfare of any person or thing
love,tenderness
luck,hap
luck,"often , one ' s habitual or characteristic fortune"
lunch,a luncheon
luncheon,"a lunch , especially one organized by a group as a formal social gathering"
lyric,the words of a song
machine,a bicycle
machinery,the supernatural means by which the action of a poetic or fictitious work is carried on and brought to a catastrophe
madness,extreme folly
madness,lunacy
magazine,the building or room in which the supply of powder is kept in a fortification or a ship
magician,a conjurer
magician,an entertainer who produces seemingly magical effects by clever illusions
magician,a sorcerer or sorceress
magician,one skilled in magic
magic,the art of creating illusions which appear to the observer to be inexplicable except by some supernatural influence
magnitude,extent of dimensions
magnitude,"that which has one or more of the three dimensions , length , breadth , and thickness"
maid,a female servant
maid,a virgin
main,the high sea
majority,the greater number
majority,the military rank of a major
major,the lowest field officer
make,form
maker,"specifically , the creator"
make,shape
make,"structure , texture , constitution of parts"
making,fabrication
making,that which establishes or places in a desirable state or condition
malice,a malignant design of evil
malice,enmity of heart
malignant,one of the adherents of charles i
management,judicious use of means to accomplish an end
management,negotiation
manager,a conductor or director
manhood,bravery
manifestation,a phenomenon which gives evidence of something hidden
mankind,the human race
manner,well - bred carriage and address
mantle,a cloak
manual,"a keyboard of an organ or harmonium for the fingers , as distinguished from the pedals"
manure,any matter which makes land productive
manuscript,"writing , as opposed to print"
march,a confine
march,advance of troops
marine,naval economy
market,a place where provisions are sold
marriage,wedlock
marsh,a fen
marsh,"a tract of soft wet land , commonly covered partially or wholly with water"
martyrdom,"the suffering of death on account of adherence to the christian faith , or to any cause"
martyr,"one who , by his death , bears witness to the truth of the gospel"
mask,"a cover , or partial cover , for the face , used for disguise or protection"
mask,a delusive show
mask,a revel
mason,a member of the fraternity of freemasons
mass,a large quantity
mast,"a pole , or long , strong , round piece of timber , or spar , set upright in a boat or vessel , to sustain the sails , yards , rigging , etc"
master,the person to whom an apprentice is articled
mastery,triumph
mate,a suitable companion
mate,one who customarily associates with another
matron,a woman of staid or motherly manners
matter,body
matter,material
matter,that into which a notion may be analyzed
matter,"that with regard to , or about which , anything takes place or is done"
matter,the pith
maturity,a becoming due
maturity,arrival of the time fixed for payment
maxim,an axiom of practical wisdom
maxim,a proverb
meadow,any field on which grass is grown for hay
meal,the quantity usually taken at one time with the purpose of satisfying hunger
meaning,purpose
meaning,that which is meant or intended
mean,measure
mean,medium
mean,something tending to an object desired
measure,a rule by which anything is adjusted or judged
meat,the flesh of animals used as food
mechanism,the arrangement or relation of the parts of anything as adapted to produce an effect
mechanism,"the parts of a machine , taken collectively"
medicine,"among the north american indians , any object supposed to give control over natural or magical forces , to act as a protective charm , or to cause healing"
medicine,a remedial agent
medicine,magical power itself
meditation,the turning or revolving of a subject in the mind
medium,the mean or middle term of a syllogism
meeting,a collection of people
melancholy,deep dejection
melancholy,melancholia
member,a clause
memorial,"a written representation of facts , addressed to the government , or to some branch of it , or to a society , etc"
memory,remembrance
mention,"a speaking or notice of anything , -- usually in a brief or cursory manner"
merchandise,"whatever is usually bought or sold in trade , or market , or by merchants"
mercy,disposition to exercise compassion or favor
mercy,pity
meridian,"the highest point , as of success , prosperity , or the like"
merit,excellence
merit,the quality or state of deserving well
mess,the milk given by a cow at one milking
metal,constitutional disposition
method,way
middle,the midst
middle,"the point or part equally distant from the extremities or exterior limits , as of a line , a surface , or a solid"
midst,figuratively the condition of being surrounded or beset
midst,the interior or central part or place
mien,bearing
mien,demeanor
mien,manner
milk,an emulsion made by bruising seeds
milk,latex
mill,a machine for grinding and polishing
millennium,"a long period of happiness , righteousness , and prosperity , usually considered as being in the indefinite future"
miller,a moth or lepidopterous insect
millionaire,a very rich person
mind,inclination
mind,the intellectual or rational faculty in man
mind,will
mineral,"an inorganic species or substance occurring in nature , having a definite chemical composition and usually a distinct crystalline form"
minister,"a representative of a government , sent to the court , or seat of government , of a foreign nation to transact diplomatic business"
minority,"the state of being a minor , or under age"
mirth,jollity
mischief,"trouble or vexation caused by human agency or by some living being , intentionally or not"
misery,distress
misfortune,bad fortune or luck
misfortune,disaster
mission,a delegation
mission,an errand
missionary,one who is sent on a mission
mission,business or duty on which one is sent
mist,"coarse , watery vapor , floating or falling in visible particles , approaching the form of rain"
mist,fog
misunderstanding,dissension
misunderstanding,error
misunderstanding,mistake of the meaning
mixture,a compound
mob,the lower classes of a community
mock,a sneer
mode,fashion
model,"a miniature representation of a thing , with the several parts in due proportion"
mode,prevailing popular custom
moderation,calmness of mind
modesty,"absence of self - assertion , arrogance , and presumption"
modesty,purity of thought and manners
modesty,the quality or state of being modest
modification,a change
modification,something which has been modified
moisture,liquid in small quantity
moment,force
monarch,a sovereign
money,any number of such pieces
monopoly,exclusive possession
monopoly,"sole command of the traffic in anything , however obtained"
monopoly,"the exclusive power , or privilege of selling a commodity"
monster,a marvel
monster,a prodigy
monster,"specifically , an animal or plant departing greatly from the usual type , as by having too many limbs"
monthly,a publication which appears regularly once a month
monument,a memorial
moor,a heath
morality,"quality of an intention , a character , an action , a principle , or a sentiment , when tried by the standard of right"
moral,the doctrine or practice of the duties of life
morning,the first or early part
mortality,humanity
mortgage,the written instrument by which the conveyance is made
moss,a bog
moss,"a cryptogamous plant of a cellular structure , with distinct stem and simple leaves"
mother,source of birth or origin
motion,"the passing of a body from one place or position to another , whether voluntary or involuntary"
motive,that which incites to action
motto,"a sentence , phrase , or word , prefixed to an essay , discourse , chapter , canto , or the like , suggestive of its subject matter"
mound,a natural elevation appearing as if thrown up artificially
mound,"a regular and isolated hill , hillock , or knoll"
mount,a bank
mountain,an eminence higher than a hill
mountain,"a range , chain , or group of such elevations"
mouth,the aperture between the jaws or between the lips
mouth,the opening through which an animal receives food
movement,progress toward a goal
moving,the act of changing one ' s dwelling place or place of business
multitude,"a great number of persons or things , regarded collectively"
multitude,an assembly
multitude,a numerous collection of persons
murmur,"a low , confused , and indistinct sound , like that of running water"
muscle,"an organ which , by its contraction , produces motion"
muse,a particular power and practice of poetry
musical,a social entertainment of which music is the leading feature
mute,"one who , from deafness , either congenital or from early life , is unable to use articulate language"
mutiny,concerted revolt against the rules of discipline or the lawful commands of a superior officer
mutiny,insubordination
muzzle,a snout
mystery,a handicraft
myth,"a story of great but unknown age which originally embodied a belief regarding some fact or phenomenon of experience , and in which often the forces of nature and of the soul are personified"
nail,the basal thickened portion of the anterior wings of certain hemiptera
nail,"the terminal horny plate on the beak of ducks , and other allied birds"
name,"a descriptive or qualifying appellation given to a person or thing , on account of a character or acts"
name,"a distinctive specific appellation , whether of an individual or a class"
name,distinction
name,honorable estimation
narrow,a contracted part of a stream lake or sea
nationality,"the quality of being national , or strongly attached to one ' s own nation"
nationality,the sum of the qualities which distinguish a nation
nation,a race
native,"an animal , a fruit , or vegetable , produced in a certain region"
natural,"a person who has an innate talent that makes success in some specific endeavor , such as sports , much easier than for others"
nature,all of creation
nature,connection of cause and effect
nature,the agencies which carry on the processes of creation or of being
nature,the established or regular course of things
nature,the personified sum and order of causes and effects
nature,"the universe of matter , energy , time and space"
navigation,"the management of sails , rudder , etc"
navigation,the state of being navigable
navy,a fleet of ships
necessary,an essential
necessary,a water - closet
necessity,indigence
need,destitution
needle,a slender rod or wire used in knitting
negative,an opposite or contradictory term or conception
neglect,habitual carelessness
negligence,heedlessness
neighbor,a fellow being
neighborhood,the quality or condition of being a neighbor
neighbor,one whose abode is not far off
nest,a snug place in which young animals are reared
neutrality,"the condition of a nation or government which refrains from taking part , directly or indirectly , in a war between other powers"
neutrality,the state or quality of being neutral
night,intellectual and moral darkness
night,obscurity
nineteenth,the quotient of a unit divided by nineteen
nine,the number greater than eight by a unit
nobility,antiquity of family
nobility,commanding excellence
noble,a peer
nod,a dropping or bending forward of the upper part or top of anything
noise,report
nonsense,absurdity
nonsense,"that which is not sense , or has no sense"
nonsense,things of no importance
nonsense,"words , or language , which have no meaning , or which convey no intelligible ideas"
nook,a recess
north,the direction opposite to the south
nose,a projecting end or beak at the front of an object
nose,scent
nose,the power of smelling
nose,the prominent part of the face or anterior extremity of the head containing the nostrils and olfactory cavities
note,a characteristic quality
note,a comment
note,"a critical , explanatory , or illustrative observation"
notice,cognizance
nous,talent
novel,"a fictitious tale or narrative , longer than a short story , having some degree of complexity and development of characters"
novelty,something novel
nuisance,that which annoys or gives trouble and vexation
number,an assemblage made up of distinct things expressible by figures
number,"a unit , or an aggregate of units"
number,many
nurse,as : a woman who has the care of young children
nurse,one who nourishes
obedience,a body of adherents
object,aim
object,end
object,goal
objection,obstacle
objective,an object glass
object,"that toward which the mind , or any of its activities , is directed"
object,"that which is put , or which may be regarded as put , in the way of some of the senses"
obligation,"the binding power of a promise , contract , oath , or vow , or of law"
oblivion,"amnesty , or general pardon"
observance,a custom
observation,"the act of seeing , or of fixing the mind upon , anything"
observation,the act or the faculty of observing or taking notice
observer,"one who observes , or pays attention to , anything"
obstacle,"an obstruction , physical or moral"
obstinacy,"the quality or state of being difficult to remedy , relieve , or subdue"
obstinacy,unyielding disposition
occasion,"a falling out , happening , or coming to pass"
occasion,event
occasion,occurrence
occupation,calling
occupation,tenure
occupation,the act or process of occupying or taking possession
occupation,trade
occurrence,a coming or happening
offense,anger
offense,displeasure
offense,the offensive
offer,a proffer
offer,a sum offered
offer,endeavor
offering,an oblation
offering,a sacrifice
omen,a presage
omission,neglect or failure to do something required by propriety or duty
opening,an aperture
opening,commencement
opera,"the score of a musical drama , either written or in print"
operation,agency
operation,an effect brought about in accordance with a definite plan
operation,the act or process of operating
opponent,a foe
opponent,one who opposes
opportunity,fit or convenient time or situation
opposition,repugnance
opposition,the act of opposing
opposition,the state of being placed over against
oppression,tyranny
oracle,the entire sacred scriptures -- usually in the plural
orange,reddish yellow
orator,a public speaker
orator,one distinguished for his skill and power as a public speaker
oratory,the art of public speaking in an eloquent or effective manner
orchestra,the place in any public hall appropriated to a band of instrumental musicians
ordeal,a painful experience
ordinance,a local law enacted by a municipal government
ordinance,an established rite or ceremony
ordinance,a permanent rule of action
ordinance,"a statute , law , regulation , rescript , or accepted usage"
organ,"an instrument or medium by which some important action is performed , or an important end accomplished"
original,a person of marked eccentricity
original,archetype
original,commencement
original,igin
originality,ability to express oneself in an original manner
original,source
origin,the cause
origin,the first existence or beginning of anything
origin,the occasion
origin,the spring
ounce,"a weight , the sixteenth part of a pound avoirdupois , and containing 28"
ounce,the twelfth part of a troy pound
outfit,"a complete ensemble of clothing , selected to form a matching set"
outfit,"a fitting out , or equipment , as of a ship for a voyage , or of a person for an expedition in an unoccupied region or residence in a foreign land"
outlook,one who looks out
outlook,scope of vision
outlook,the act of looking out
outlook,watch
outrage,gross injury
outrage,injurious violence or wanton wrong done to persons or things
overcoat,a greatcoat
overcoat,a topcoat
overthrow,the act of overthrowing
pace,walk
package,a parcel
pack,a multitude
packing,"the substance in a stuffing box , through which a piston rod slides"
page,a record
page,a writing
pain,an ache
pain,penalty
paint,a pigment or coloring substance
painter,one whose occupation is to paint
painting,a picture
painting,"the act or employment of laying on , or adorning with , paints or colors"
pair,a set
pale,a limit
pale,a picket
pale,"a pointed stake or slat , either driven into the ground , or fastened to a rail at the top and bottom , for fencing or inclosing"
palm,a lineal measure equal either to the breadth of the hand or to its length from the wrist to the ends of the fingers
pamphlet,a book
pamphlet,"a small book consisting of a few sheets of printed paper , stitched together , often with a paper cover , but not bound"
pan,a closed vessel for boiling or evaporating
pang,a sudden and transitory agony
pang,a throe
panic,by extension : a sudden widespread fright or apprehension concerning financial affairs
pan,the part of a flintlock which holds the priming
paper,a printed or written instrument
parade,any imposing procession
parade,"the ground where a military display is held , or where troops are drilled"
paradise,a place of bliss
parallel,conformity continued through many particulars or in all essential points
parallel,resemblance
parapet,"a low wall , especially one serving to protect the edge of a platform , roof , bridge , or the like"
parcel,a bundle
parcel,a package
parchment,"the skin of a lamb , sheep , goat , young calf , or other animal , prepared for writing on"
pardon,absolution
pardon,remission of punishment
parent,author
parliament,a formal conference on public affairs
parson,the rector or incumbent of a parochial church who has full possession of all the rights thereof with the cure of souls
particle,a minute part or portion of matter
particular,a minute account
parting,a surface or line of separation where a division occurs
parting,separation
partition,"specifically , an interior wall dividing one part or apartment of a house , a compartment of a room , an inclosure , or the like , from another"
partition,"that by which different things , or distinct parts of the same thing , are separated"
partition,"the severance of common or undivided interests , particularly in real estate"
partner,either one of a couple who dance together
partner,"one who shares as a member of a partnership in the management , or in the gains and losses , of a business"
pass,a ford
passage,fare
passage,"journey , as by water , carriage , car , or the like"
passage,travel
passing,"the act of one who , or that which , passes"
passion,"any emotion or sentiment ( specifically , love or anger ) in a state of abnormal or controlling activity"
passion,the state of the mind when it is powerfully acted upon and influenced by something external to itself
passport,a sea letter
paste,"a kind of cement made of flour and water , starch and water , or the like , -- used for uniting paper or other substances , as in bookbinding , etc"
pastor,a keeper
pasture,specifically : grass growing for the food of cattle
patent,a writing securing to an invention
path,an established way
path,passage
path,route
pattern,an exemplar
pattern,stuff sufficient for a garment
pattern,"that which is to be , or is worthy to be , copied or imitated"
pause,cessation
pause,doubt
pause,hesitation
pause,suspension
pavement,that with which anything is paved
pavilion,a large tent
pay,compensation
pay,payment
pay,recompense
pay,satisfaction
peace,a state of quiet or tranquillity
peace,"public quiet , order , and contentment in obedience to law"
peak,a point
peep,the cry of a young chicken
peer,a comrade
pen,a small inclosure
pencil,in general the act or occupation of the artist descriptive writer etc
penitent,"one under church censure , but admitted to penance"
penitent,one under the direction of a confessor
penny,"money , in general"
people,a nation
people,the populace
percentage,"the allowance , duty , rate of interest , discount , or commission , on a hundred"
perception,discernment
perch,a rod
perch,"a rod , or pole"
perfection,"the quality or state of being perfect or complete , so that nothing requisite is wanting"
performance,a feat
performance,an achievement
performance,representation by action
performance,the act of performing
performance,the carrying into execution or action
perfume,a pleasant odor
perfume,a substance that emits an agreeable odor
period,an age
periodical,a magazine or other publication which appears at stated or regular intervals
permission,authorization
permit,"a large pompano of the west indies , florida , etc"
permit,permission
permit,"specifically , a written license or permission given to a person or persons having authority"
perplexity,complication
perplexity,entanglement
personality,individuality
personality,personal remarks
personality,the externally evident aspects of the character or behavior of a person
person,body
person,the bodily form of a human being
perspective,that which is seen through an opening
perspective,"the effect of distance upon the appearance of objects , by means of which the eye recognized them as being at a more or less measurable distance"
persuasion,a creed or belief
persuasion,"the act of influencing the mind by arguments or reasons offered , or by anything that moves the mind or passions , or inclines the will to a determination"
pet,any person especially cherished and indulged
petition,an entreaty
petition,a single clause in such a prayer
philosopher,one who lives according to the rules of practical wisdom
philosophy,calmness of temper and judgment
philosophy,fortitude
phrase,diction
pick,right of selection
picture,"a representation , either to the eye or to the mind"
pie,a magpie
pie,an article of food consisting of paste baked with something in it or under it
pile,a covering of hair or fur
pile,a hair
pile,a mass formed in layers
pile,a mass of things heaped together
pilgrim,"one who travels far , or in strange lands , to visit some holy place or shrine as a devotee"
pillar,"a pier , column , or post"
pilot,one employed to steer a vessel
pin,a trifle
pink,anything supremely excellent
pink,a stab
pioneer,"one who goes before , as into the wilderness , preparing the way for others to follow"
pitch,"a cast , as of something from the hand"
pitch,a limit or bound
pitch,a throw
pitch,the extreme point or degree of elevation or depression
place,a broad way in a city
place,an area
place,"a village , town , or city"
place,ground
place,"rarely , unbounded space"
plague,any afflictive evil or torment
plague,any pestilence
plain,"usually , an open field or a broad stretch of land with an even surface , or a surface little varied by inequalities"
plan,a method
plan,a method of action or procedure expressed or described in language
plane,a surface plate
plane,"a surface , real or imaginary , in which , if any two points are taken , the straight line which joins them lies wholly in that surface"
planet,"a star , as influencing the fate of a men"
plan,"properly , a representation drawn on a plane , as a map or a chart"
plant,the whole machinery and apparatus employed in carrying on a trade or mechanical business
plaster,"a composition of lime , water , and sand , with or without hair as a bond , for coating walls , ceilings , and partitions of houses"
platform,a dais
platform,a landing
platform,any flat or horizontal surface
platform,"a stage , for speakers , performers , or workmen"
player,a dramatic actor
player,an idler
play,frolic
plea,a cause in court
plea,a lawsuit
pleading,"the act of advocating , defending , or supporting , a cause by arguments"
pleasure,purpose
pleasure,sensual gratification
pleasure,sport
pledge,something put in pawn
plenty,enough and to spare
plenty,full or adequate supply
plenty,"specifically , abundant productiveness of the earth"
plight,security
pluck,the act of plucking
pluck,"the heart , liver , and lights of an animal"
plunder,that which is taken by theft or fraud
plunge,"the act of pitching or throwing one ' s self headlong or violently forward , like an unruly horse"
plural,that form of a word which expresses or denotes more than one
pocket,"a bin for strong coal , grain , etc"
point,"anything which tapers to a sharp , well - defined termination"
pole,one of the extremities of the earth ' s axis
pole,the stem of a small tree whose branches have been removed
police,that which concerns the order of the community
policy,a method of gambling by betting as to what numbers will be drawn in a lottery
policy,"a system of public or official administration , as designed to promote the external or internal prosperity of a state"
policy,course
policy,cunning
policy,stratagem
policy,the method by which any institution is administered
politeness,complaisance
politeness,urbanity
politician,one devoted to politics
politics,"in a bad sense , artful or dishonest management to secure the success of political candidates or parties"
pomp,a pageant
pomp,power
pond,"a body of water , naturally or artificially confined , and usually of less extent than a lake"
pool,"a small and rather deep collection of ( usually ) fresh water , as one supplied by a spring , or occurring in the course of a stream"
pool,in public billiard rooms a game in which the loser pays the entrance fee for all who engage in the game
poor,a small european codfish
popularity,the state of being esteemed by or of being in favor with the people at large
population,"the whole number of people , or inhabitants , in a country , or portion of a country"
pork,"the flesh of swine , fresh or salted , used for food"
port,a dark red or purple astringent wine made in portugal
port,bearing
porter,a bar of iron or steel at the end of which a forging is made
porter,a doorkeeper
porter,one who waits at the door to receive messages
portion,a part assigned
portrait,"commonly , a representation of the human face painted from real life"
portrait,"the likeness of a person , painted , drawn , or engraved"
pose,a position formally assumed for the sake of effect
pose,the attitude or position of a person
position,a principle laid down as the basis of reasoning
position,a thesis
position,place
position,situation
position,the manner in which anything is placed
possession,dominion
possession,"ownership , whether rightful or wrongful"
possession,"the having , holding , or detention of property in one ' s power or command"
possessor,a proprietor
possessor,"one who occupies , holds , owns , or controls"
possibility,a contingency
post,a military station
post,"a station , or one of a series of stations , established for the refreshment and accommodation of travelers on some recognized route"
posterity,descendants
post,the place at which a soldier or a body of troops is stationed
pound,a certain specified weight
power,capacity of undergoing or suffering
power,"same as poor , the fish"
prairie,"an extensive tract of level or rolling land , destitute of trees , covered with coarse grass , and usually characterized by a deep , fertile soil"
praise,the joyful tribute of gratitude or homage rendered to the divine being
prayer,"the act of addressing supplication to a divinity , especially to the true god"
prayer,the form of words used in praying
precedent,an authoritative example
precipitate,"atmospheric moisture condensed as rain or snow , etc"
precision,accuracy
precision,strict conformity to a rule or a standard
predecessor,one who precedes
preface,the prelude or introduction to the canon of the mass
prejudice,"a bias on the part of judge , juror , or witness which interferes with fairness of judgment"
prejudice,an opinion or judgment formed without due examination
prejudice,detriment
preliminary,something introductory or preparatory
presence,the place in which one is present
presentation,appearance
preservation,"the act or process of preserving , or keeping safe"
president,"the chief officer of a corporation , company , institution , society , or the like"
press,"an apparatus or machine by which any substance or body is pressed , squeezed , stamped , or shaped , or by which an impression of a body is taken"
prestige,force or charm derived from acknowledged character or reputation
pretext,ostensible reason or motive assigned or assumed as a color or cover for the real reason or motive
prey,ravage
pride,dignified bearing
pride,insolence or arrogance of demeanor
pride,lofty self - respect
pride,the quality or state of being proud
priest,a presbyter
priesthood,"priests , taken collectively"
priesthood,the office or character of a priest
priest,one who acts as a mediator between men and the divinity or the gods in any form of religion
priest,one who belongs to the intermediate order between bishop and deacon
prime,"the beginning or opening , as of the day , the year , etc"
prime,the best part
prime,youth
princess,a female prince
prince,"the son of a king or emperor , or the issue of a royal family"
principle,a maxim
principle,"a source , or origin"
principle,primordial substance
printing,"the act , art , or practice of impressing letters , characters , or figures on paper , cloth , or other material"
printing,the act of producing photographic prints
print,"that which receives an impression , as from a stamp or mold"
prison,a place or state o � confinement restraint or safe custody
prisoner,a person held in involuntary restraint
prisoner,one who is confined in a prison
privilege,advantage
prize,property captured at sea in virtue of the rights of war as a vessel
probability,anything that has the appearance of reality or truth
procedure,progress
process,"a series of actions , motions , or occurrences"
process,progressive act or transaction
process,regular proceeding
proclamation,a published ordinance
proclamation,official or general notice
produce,"result of labor , especially of agricultural labors"
produce,yield
profession,a claim
profession,an avowal
profession,employment
profession,the act of professing or claiming
profile,"a section of any member , made at right angles with its main lines , showing the exact shape of moldings and the like"
profit,accession of good
profit,valuable results
profusion,abundance
progress,in business of any kind
progress,increase
prohibition,interdict
project,a design
project,an idle scheme
project,something intended or devised
project,that which is projected or designed
promotion,"the act of promoting , advancing , or encouraging"
prompt,"a limit of time given for payment of an account for produce purchased , this limit varying with different goods"
proof,the quality or state of having been proved or tried
property,"the exclusive right of possessing , enjoying , and disposing of a thing"
property,title
prophecy,a history
prophecy,a prediction
proposal,a scheme or design
proposition,the act of offering
proposition,the act of setting or placing before
proprietary,one who has exclusive title to a thing
propriety,the quality or state of being proper
prose,"a hymn with no regular meter , sometimes introduced into the mass"
prosecution,"the carrying on of a judicial proceeding in behalf of a complaining party , as distinguished from defense"
prospect,face
prospect,relative aspect
prospect,view
prosperity,success
prosperity,successful progress in any business or enterprise
protection,a shield
protection,a writing that protects or secures from molestation or arrest
protection,"preservation from loss , injury , or annoyance"
protection,"the act of protecting , or the state of being protected"
protest,"a declaration made by the master of a vessel before a notary , consul , or other authorized officer , upon his arrival in port after a disaster , stating the particulars of it , and showing that any damage or loss sustained was not owing to the fault of the vessel , her officers or crew , but to the perils of the sea , etc"
province,a tract
provincial,a person belonging to a province
provocation,incitement
provocation,"the act of provoking , or causing vexation or , anger"
proximity,"immediate nearness , either in place , blood , or alliance"
proximity,"the quality or state of being next in time , place , causation , influence , etc"
prudence,discretion
puff,any sudden or short blast of wind
pull,an effort to move something by drawing toward one
pulpit,the whole body of the clergy
pulse,vibration
punch,a thrust or blow
pupil,a ward
pupil,the aperture in the iris
purchase,buying for money or its equivalent
purchase,property
purchase,"that which is obtained , got , or acquired , in any manner , honestly or dishonestly"
puritan,one who is scrupulous and strict in his religious life
purpose,aim
purpose,plan
purpose,that which a person sets before himself as an object to be reached or accomplished
purpose,"the end or aim to which the view is directed in any plan , measure , or exertion"
purpose,view
purse,a pocketbook
purse,a wallet
pursuit,continued employment with a view to same end
pursuit,prosecution
push,a crowd
push,a shove
put,a certain game at cards
put,a push
put,a thrust
quality,distinctive trait
quality,"nature or character relatively considered , as of goods"
quality,occupation
quality,rank
quality,special or temporary character
quarrel,a difference
quarrel,"an antagonism in opinion , feeling , or conduct"
quarrel,"a small opening in window tracery , of which the cusps , etc"
quarrel,one who is quarrelsome
quarry,"a part of the entrails of the beast taken , given to the hounds"
quart,"a measure of capacity , both in dry and in liquid measure"
quart,"in cards , four successive cards of the same suit"
quart,the eighth part of a peck
queen,a woman who is the sovereign of a kingdom
quest,desire
question,interrogation
question,"specifically , a judicial or official investigation"
quest,search
quest,"the act of seeking , or looking after anything"
quick,a living animal or plant
quickness,activity
quickness,briskness
quickness,pungency of taste
quiet,peace
quiver,a tremor
quiver,the act or state of quivering
quotation,the price named
rabble,"a tumultuous crowd of vulgar , noisy people"
race,a course
race,"in the plural , usually , a meeting for contests in the running of horses"
race,the act or process of running in competition
rack,a fast amble
radiance,the quality of being radiant
radiant,"the point in the heavens at which the apparent paths of shooting stars meet , when traced backward , or whence they appear to radiate"
rag,a fragment
rag,a tattered piece of cloth
rage,"extreme vehemence of desire , emotion , or suffering , mastering the will"
rage,violent anger
raid,an inroad or incursion of mounted men
random,range
range,the step of a ladder
rank,a range
rank,a row or line
rapidity,celerity
rapture,"the state or condition of being rapt , or carried away from one ' s self by agreeable excitement"
rash,"a fine eruption or efflorescence on the body , with little or no elevation"
rat,"a round and tapering mass of hair , or similar material , used by women to support the puffs and rolls of their natural hair"
rate,degree
rate,established portion or measure
rate,proportion
rate,rank
rate,valuation
ratio,"as , a : b ="
ratio,fixed relation of number quantity or degree
ratio,rate
ravine,"a deep and narrow hollow , usually worn by a stream or torrent of water"
ravine,a gorge
ravine,a mountain cleft
reach,application
reach,expanse
reach,extension
reach,result
reach,scope
reaction,movement in a contrary direction
reader,one who reads lectures on scientific subjects
reading,literary scholarship
reading,study of books
ready,cash
reality,fact
reality,"that which is not imagination , fiction , or pretense"
realm,division
rear,the back or hindmost part
reason,a motive for an action or a determination
reason,efficient cause
reason,ground of argument
reason,"proof , more or less decisive , for an opinion or a conclusion"
rebellion,an organized uprising of subjects for the purpose of coercing or overthrowing their lawful ruler or government by force
rebel,one who rebels
recall,a calling back
receipt,a recipe
receiver,one who takes or receives in any manner
reception,"the act or manner of receiving , especially of receiving visitors"
recital,the act of reciting
reckoning,an account of time
recognition,acknowledgment
recollection,memory
recollection,reminiscence
recommendation,"anything procuring , or tending to procure , a favorable reception , or to secure acceptance and adoption"
recompense,suitable return
reconciliation,harmony
reconciliation,reduction to congruence or consistency
reconciliation,removal of inconsistency
recover,recovery
recreation,pastime
recreation,refreshment of the strength and spirits after toil
rector,a clergyman in charge of a parish
rector,"sometimes , the head of a college"
redress,indemnification
redress,"one who , or that which , gives relief"
redress,reparation
reduction,conquest
reduction,"the act of reducing , or state of being reduced"
reef,a chain or range of rocks lying at or near the surface of the water
reference,a specific direction of the attention
reference,regard
reference,respect
