abandon,freedom from artificial constraint
lecture,a reprimand or formal reproof from one having authority
legacy,a bequest
legacy,"a gift of property by will , especially of money or personal property"
legend,"any wonderful story coming down from the past , but not verifiable by historical record"
leisure,convenience
length,duration
length,extent of anything from end to end
lesson,anything read or recited to a teacher by a pupil or learner
letter,literal statement or meaning
liberty,leave
library,a building or apartment appropriated for holding such a collection of books
license,a formal permission from the proper authorities to perform certain acts or to carry on a certain business which without such permission would be illegal
license,authority or liberty given to do or forbear any act
lid,the cover of the spore cases of mosses
lie,a falsehood uttered or acted for the purpose of deception
lie,an untruth
lie,anything which misleads or disappoints
life,of human beings : the union of the soul and body
life,the time during which this state continues
life,"the vital force , whether regarded as physical or spiritual"
lift,act of lifting
lift,that which is lifted
lighter,"a large boat or barge , mainly used in unloading or loading vessels which can not reach the wharves at the place of shipment or delivery"
lightness,delicacy
light,"that agent , force , or action in nature by the operation of which upon the organs of sight , objects are rendered visible or luminous"
light,the dawn of day
likeness,appearance or form
likeness,the state or quality of being like
liking,inclination
lily,that end of a compass needle which should point to the north
limb,"a leg , arm , or wing of an animal"
limb,"a thing or person regarded as a part or member of , or attachment to , something else"
lime,a thong by which a dog is led
limp,a halt
line,a linen thread or string
line,"a slender , strong cord"
link,a part of a connected series
link,a single ring or division of a chain
links,a tract of ground laid out for the game of golf
lion,"an object of interest and curiosity , especially a person who is so regarded"
liquor,a solution of a medicinal substance in water
liquor,"specifically , alcoholic or spirituous fluid , either distilled or fermented , as brandy , wine , whisky , beer , etc"
list,"a line inclosing or forming the extremity of a piece of ground , or field of combat"
literature,"the collective body of literary productions , embracing the entire results of knowledge and fancy preserved in writing"
litter,"a bed or stretcher so arranged that a person , especially a sick or wounded person , may be easily carried in or upon it"
litter,a covering of straw for plants
liver,a dweller
living,life
living,means of subsistence
living,"the state of one who , or that which , lives"
load,lading
load,that which is borne or sustained
location,locality
lock,a state of being fixed or immovable
lodge,a hut
lodge,a shed
lodging,abiding place
logic,correct reasoning
logic,"the science of generalization , judgment , classification , reasoning , and systematic arrangement"
log,the full nautical record of a ship ' s cruise or voyage
loneliness,love of retirement
loneliness,solitude
loneliness,the condition of being lonely
longing,a morbid appetite
longing,an earnest wish
longitude,measure or distance along the longest line
look,a glance
look,a sight
look,a view
look,expression of the eyes and face
looking,the act of one who looks
look,the act of looking
loose,discharge
lord,"a bishop , as a member of the house of lords"
lord,"and also , for honor , on certain official persons"
lord,"a proprietor , as of a manor"
lord,one who has power and authority
lordship,the territory over which a lord holds jurisdiction
lord,"the son of a duke or marquis , or the eldest son of an earl"
lore,advice
lore,that which is or may be learned or known
lore,the anterior portion of the cheeks of insects
loss,"the privation , defect , misfortune , harm , etc"
love,pre ë minent kindness or devotion to another
lover,one who greatly desires the welfare of any person or thing
lower,gloominess
loyalty,the state or quality of being loyal
luck,fate
luck,fortune
luxury,"a free indulgence in costly food , dress , furniture , or anything expensive which gratifies the appetites or tastes"
madness,extreme folly
magician,an enchanter
magic,the art of creating illusions which appear to the observer to be inexplicable except by some supernatural influence
maiden,an unmarried woman
maid,"usually , a young unmarried woman"
mail,"generally , armor , or any defensive covering"
mail,"the bag or bags with the letters , papers , or other matter contained therein , conveyed under public authority from one post office to another"
mainland,the continent
maintenance,support
maintenance,the act of maintaining
maintenance,vindication
major,an officer next in rank above a captain and next below a lieutenant colonel
majority,the greater number
make,construction
make,form
make,"structure , texture , constitution of parts"
making,the material of which something may be made
making,workmanship
malice,a depraved inclination to mischief
malice,"an intention to vex , annoy , or injure another person , or to do a wrongful act without just cause or cause or excuse"
malice,ill will
management,administration
management,business dealing
management,conduct directed by art or address
management,guidance
manager,a conductor or director
manager,a contriver
manhood,bravery
manhood,manly quality
manhood,resolution
mankind,the human race
mankind,the male portion of human race
manner,carriage
manner,fashion
manner,way of performing or effecting anything
mansion,a manor house
mansion,any house of considerable size or pretension
mansion,a twelfth part of the heavens
mantle,an enveloping robe
manuscript,"writing , as opposed to print"
march,a confine
march,military progress
margin,a border
margin,verge
marine,one of a body of troops trained to do duty in the navy
market,"demand , as shown by price offered or obtainable"
marriage,any intimate or close union
marshal,one who goes before a prince to declare his coming and provide entertainment
marsh,a swamp
martyrdom,the condition of a martyr
martyrdom,the death of a martyr
marvel,that which causes wonder
mask,a pretext or subterfuge
mask,a revel
mason,a member of the fraternity of freemasons
mass,a sum
master,the employer of a servant
mastery,superiority
mastery,superiority in war or competition
mastery,the act process of mastering
match,a matrimonial union
match,a person or thing equal or similar to another
match,a sporting contest
material,the substance or matter of which anything is made or may be made
mathematics,"that science , or class of sciences , which treats of the exact relations existing between quantities or magnitudes , and of the methods by which , in accordance with these relations , quantities sought are deducible from other quantities known or supposed"
mathematics,the science of spatial and quantitative relations
matter,"anything which has extension , occupies space , or is perceptible by the senses"
matter,material
matter,substance
matter,the material or substantial part of anything
matter,theme
matter,the pith
maturity,"termination of the period a note , etc"
maxim,a condensed proposition of important practical truth
maxim,an axiom of practical wisdom
mean,absence of extremes or excess
mean,instrument
mean,measure
mean,moderation
mean,something tending to an object desired
measure,"an instrument by means of which size or quantity is measured , as a graduated line , rod , vessel , or the like"
measure,a rule by which anything is adjusted or judged
meat,"food , in general"
mechanism,the arrangement or relation of the parts of a machine
mechanism,"the parts of a machine , taken collectively"
medal,"a piece of metal in the form of a coin , struck with a device , and intended to preserve the remembrance of a notable event or an illustrious person , or to serve as a reward"
medicine,physic
medium,the mean or middle term of a syllogism
meeting,a convention
melancholy,depression of spirits
melancholy,melancholia
melting,liquefaction
member,"either of the two parts of an algebraic equation , connected by the sign of equality"
merchandise,the act or business of trading
merchandise,the objects of commerce
merchant,a trader
merchant,a trafficker
mercury,a latin god of commerce and gain
mercy,clemency
mercy,compassion
mercy,"forbearance to inflict harm under circumstances of provocation , when one has the power to inflict it"
mere,a boundary
mere,a pool or lake
meridian,culmination
message,specifically an official communication not made in person but delivered by a messenger
messenger,"specifically , an office servant who bears messages"
mess,persons in the military or naval service who eat at the same table
method,a mode or system of classifying natural objects according to certain common characteristics
middle,"an intervening point or part in space , time , or order of series"
midst,the burden
midst,the press
mien,bearing
military,militia
militia,"in the widest sense , the whole military force of a nation , including both those engaged in military service as a business , and those competent and available for such service"
mill,"a machine used for expelling the juice , sap , etc"
millennium,"a long period of happiness , righteousness , and prosperity , usually considered as being in the indefinite future"
million,a very great number
million,"the number of ten hundred thousand , or a thousand thousand , -- written 1 , 000 , 000"
mind,belief
mind,inclination
mind,judgment
mind,opinion
mining,the act or business of making mines or of working them
minister,an agent an instrument
ministry,agency
minority,the smaller number
minute,sixty seconds
mirth,gayety accompanied with laughter
mischief,trouble
misery,extreme pain of body or mind
mission,business or duty on which one is sent
mission,that with which a messenger or agent is charged
mistake,an apprehending wrongly
mist,fog
mistress,"the female head of a family , a school , etc"
misunderstanding,disagreement
misunderstanding,dissension
mixture,a compound
mixture,that which results from mixing different ingredients together
mixture,"the act of mixing , or the state of being mixed"
mob,"the populace , or the lowest part of it"
mode,custom
model,"sometimes , a drawing"
mode,manner of doing or being
mode,method
moderation,equanimity
modesty,humility respecting one ' s own merit
modification,something which has been modified
moisture,exuding fluid
moment,a minute portion of time
moment,an instant
moment,a point of time
monarch,"an emperor , king , queen , prince , or chief"
monarch,the highest ruler
monarchy,a kingdom
monarchy,a system of government in which the chief ruler is a monarch
money,"a piece of metal , as gold , silver , copper , etc"
money,"in a comprehensive sense , any currency usually and lawfully employed in buying and selling"
monopoly,"sole command of the traffic in anything , however obtained"
monster,"any thing or person of unnatural or excessive ugliness , deformity , wickedness , or cruelty"
monster,a prodigy
monument,"a building , pillar , stone , or the like , erected to preserve the remembrance of a person , event , action , etc"
mood,manner
mood,style
morality,ethics
moral,the practical lesson which anything is designed or fitted to teach
morsel,a little piece
mortality,the life of a mortal being
moss,a bog
mother,"a film or membrane which is developed on the surface of fermented alcoholic liquids , such as vinegar , wine , etc"
motion,"the act , process , or state of changing place or position"
motive,object
motive,reason
motive,the theme or subject
motto,"a short , suggestive expression of a guiding principle"
mound,a raised bank
mount,a horse
mountain,a mount
mountain,"a range , chain , or group of such elevations"
mountain,earth and rock forming an isolated peak or a ridge
mount,a mountain
mounting,embellishment
mounting,"that by which anything is prepared for use , or set off to advantage"
mount,"otherwise , chiefly in poetry"
mouse,a knob made on a rope with spun yarn or parceling to prevent a running eye from slipping
movement,progress toward a goal
move,"the act of moving one of the pieces , from one position to another , in the progress of the game"
moving,the act of changing one ' s dwelling place or place of business
mule,a hybrid animal
mule,a plant or vegetable produced by impregnating the pistil of one species with the pollen or fecundating dust of another
mule,a very stubborn person
mule,"specifically , one generated between an ass and a mare"
musical,a drama in which music and song are prominent features
musician,one skilled in the art or science of music
music,melody
music,"the science and the art of tones , or musical sounds , i"
mustache,a west african monkey
mute,a person whose part in a play does not require him to speak
mute,the dung of birds
mutton,the flesh of a sheep
mystery,a dramatic composition of this character
mystery,"a kind of secret religious celebration , to which none were admitted except those who had been initiated by certain preparatory ceremonies"
mystery,a profound secret
mystery,"something wholly unknown , or something kept cautiously concealed , and therefore exciting curiosity or wonder"
myth,a wonder story of prehistoric origin
mythology,a body of myths
mythology,the science which treats of myths
nail,"the terminal horny plate on the beak of ducks , and other allied birds"
name,fame
name,"reputation , good or bad"
name,reputed character
name,the title by which any person or thing is known or designated
narrative,the recital of a story
nationality,a nation
nationality,national character
nationality,patriotism
nationality,the sum of the qualities which distinguish a nation
nation,a stock
native,a denizen by birth
natural,"a person who has an innate talent that makes success in some specific endeavor , such as sports , much easier than for others"
nature,"the universe of matter , energy , time and space"
nay,denial
necessary,an essential
necessary,a water - closet
need,a state that requires supply or relief
needle,"a small instrument of steel , sharply pointed at one end , with an eye to receive a thread , -- used in sewing"
negative,veto
negligence,habitual neglect
negligence,lack of due diligence or care
negro,a black man
neighbor,"one entitled to , or exhibiting , neighborly kindness"
neighbor,one of the human race
neighbor,one whose abode is not far off
nick,a broken or indented place in any edge or surface
nick,a reckoning
nineteen,the number greater than eighteen by a unit
nineteen,the sum of ten and nine
nine,the number greater than eight by a unit
ninety,the number greater by a unit than eighty - nine
ninety,the sum of nine times ten
nobility,patrician dignity
nobility,the aristocratic and patrician class
nobleman,a noble
nobleman,one of the nobility
nobleman,"one who enjoys rank above a commoner , either by virtue of birth , by office , or by patent"
noise,loud confused or senseless sound
noise,report
nominal,a verb formed from a noun
nonsense,"words , or language , which have no meaning , or which convey no intelligible ideas"
noon,culmination
northwest,"the northwestern part of the contiguous forty - eight states of the united states , especially the states of washington and oregon"
northwest,"the point in the horizon between the north and west , and equally distant from each"
nose,a nozzle
note,a distinctive mark or feature
note,a marginal comment or explanation
notice,"intelligence , by whatever means communicated"
nourishment,food
nourishment,nutriment
nourishment,"the act of nourishing , or the state of being nourished"
nous,intellect
novel,that which is new or unusual
novelty,a small mass - produced article of little value
number,a multitude
number,a numeral
nun,a white variety of domestic pigeons having a veil of feathers covering the head
nut,"the fruit of certain trees and shrubs ( as of the almond , walnut , hickory , beech , filbert , etc"
nut,the tumbler of a gunlock
oath,"an appeal ( in verification of a statement made ) to a superior sanction , in such a form as exposes the party making the appeal to an indictment for perjury if the statement be false"
obedience,a following
obedience,"the act of obeying , or the state of being obedient"
object,goal
objection,an adverse reason or argument
objection,a reason for objecting
objective,an object glass
object,"that of which the mind by any of its activities takes cognizance , whether a thing external in space or a conception formed by the mind itself"
object,that on which the purpose are fixed as the end of action or effort
object,"that which is put , or which may be regarded as put , in the way of some of the senses"
obligation,"any act by which a person becomes bound to do something to or for another , or to forbear something"
observance,a form
observation,conclusion
observation,"the result of an act , or of acts , of observing"
obstacle,"an obstruction , physical or moral"
obstinacy,"a fixedness in will , opinion , or resolution that can not be shaken at all , or only with great difficulty"
occasion,event
occasion,incident
occupation,actual possession and control
occupation,employment
occupation,profession
occupation,the principal business of one ' s life
occupation,the principal work by which one earns one ' s livelihood
occupation,use
ocean,an immense expanse
offense,displeasure
offense,the offensive
offer,a bid
offer,endeavor
offer,essay
offering,a sacrifice
offering,"that which is offered , especially in divine service"
omen,any indication or action regarded as a foreshowing
omission,that which is omitted or is left undone
opening,a beginning
opening,a gap
opera,a lyric drama
operation,mode of action
opinion,"the formal decision , or expression of views , of a judge , an umpire , a counselor , or other party officially called upon to consider and decide upon a matter or point submitted"
opponent,an adversary
opponent,one who opposes
opposition,"an attempt to check , restrain , or defeat"
opposition,"contrariety of sentiment , interest , or purpose"
oppression,dullness
oracle,"the answer of a god , or some person reputed to be a god , to an inquiry respecting some affair or future event , as the success of an enterprise or battle"
orator,one who delivers an oration
oratory,the art of public speaking in an eloquent or effective manner
orchard,the fruit trees collectively
ordeal,"an ancient form of test to determine guilt or innocence , by appealing to a supernatural decision , -- once common in europe , and still practiced in the east and by savage tribes"
orderly,a street sweeper
ordinance,an edict or decree
ordinary,a deputy of the bishop or a clergyman appointed to perform divine service for condemned criminals and assist in preparing them for death
ordinary,"a judicial officer , having generally the powers of a judge of probate or a surrogate"
ore,"a native metal or its compound with the rock in which it occurs , after it has been picked over to throw out what is worthless"
organization,the act of organizing
organization,the state of being organized
originality,"ability to create new and original ideas , works of art , theories , etc"
originality,ability to express oneself in an original manner
originality,creativity
ornament,adornment
ornament,decoration
ounce,the twelfth part of a troy pound
outbreak,insurrection
outcome,issue
outcome,"that which comes out of , or follows from , something else"
outfit,things required as equipment for a task
outlet,a vent
outline,the exterior line or edge
outlook,one who looks out
outlook,the place from which one looks out
oven,any structure whether fixed or portable which may be heated for baking drying etc
overcoat,a greatcoat
overthrow,the act of overthrowing
overthrow,"the act of throwing a ball too high , as over a player ' s head"
pace,walk
pack,a bundle made up and prepared to be carried
pack,a bundle to be carried on the back
pack,a deck
padre,a chaplain in one of the military services
padre,a priest of the native region
pagan,an idolater
page,"in the united states , a boy or girl employed to wait upon the members of a legislative body"
pain,bodily suffering
pain,penalty
pains,labor
painting,vivid representation in words
pair,"a number of things resembling one another , or belonging together"
pair,a yoke
pale,a limited region or place
pale,a picket
palm,a lineal measure equal either to the breadth of the hand or to its length from the wrist to the ends of the fingers
palm,triumph
pamphlet,"a small book consisting of a few sheets of printed paper , stitched together , often with a paper cover , but not bound"
pan,a portion
pan,"a shallow , open dish or vessel , usually of metal , employed for many domestic uses , as for setting milk for cream , for frying or baking food , etc"
pang,a throe
papa,a child ' s word for father
paper,a printed or written instrument
parade,"an assembly and orderly arrangement or display of troops , in full equipments , for inspection or evolutions before some superior officer"
parade,"the ground where a military display is held , or where troops are drilled"
paradise,a region of supreme felicity or delight
parallel,similarity
parcel,a bundle
parcel,a number or quantity of things put up together
parish,"an ecclesiastical society , usually not bounded by territorial limits , but composed of those persons who choose to unite under the charge of a particular priest , clergyman , or minister"
parliament,an assembly of representatives of a nation or people having authority to make laws
parson,a preacher
particular,"an individual fact , point , circumstance , detail , or item , which may be considered separately"
parting,separation
partition,distribution
partner,either one of a couple who dance together
partnership,a firm
party,a detachment
party,a part of a larger body of company
pass,a defile
passage,conveyance
passage,movement from point to point
passion,a suffering or enduring of imposed or inflicted pain
passport,a sea letter
pastor,a keeper
pastoral,a letter of a pastor to his charge
pastoral,a poem describing the life and manners of shepherds
pastoral,a poem in which the speakers assume the character of shepherds
pastoral,"specifically , a letter addressed by a bishop to his diocese"
pastor,a shepherd
patch,a small piece of anything used to repair a breach
path,a trodden way
path,"a way , course , or track , in which anything moves or has moved"
pathos,"contagious warmth of feeling , action , or expression"
pathos,the enduring of active stress or affliction
path,route
pathway,a beaten track
pathway,any path or course
patience,constancy in labor or application
patience,perseverance
patronage,the offices contracts honors etc
patronage,tutelary care
pattern,a part showing the figure or quality of the whole
pattern,a specimen
pause,a temporary stop or rest
pause,cessation
pavement,a paved road or sidewalk
payment,recompense
payment,that which is paid
pay,payment
pay,recompense
peace,freedom from disturbance or agitation
peculiar,a sole or exclusive property
peculiarity,particularity
peg,a reason
peg,"a wooden pin , or nail , on which to hang things , as coats , etc"
peg,"one of the pins of a musical instrument , on which the strings are strained"
pen,a small inclosure
peninsula,"a portion of land nearly surrounded by water , and connected with a larger body by a neck , or isthmus"
penitent,"one under church censure , but admitted to penance"
penny,a groat
penny,"money , in general"
pension,"payment made to one retired from service , on account of age , disability , or other cause"
pen,the internal shell of a squid
people,a community
percentage,"the allowance , duty , rate of interest , discount , or commission , on a hundred"
perception,cognition
perception,the act of perceiving
perch,a long staff
perch,a rod
perfection,"consummate culture , skill , or moral excellence"
performance,a deed
performance,a feat
performance,an action of an elaborate or public character
performance,a thing done or carried through
performance,representation by action
performance,that which is performed or accomplished
perfume,aroma
perfume,fragrance
perfume,"the scent , odor , or odoriferous particles emitted from a sweet - smelling substance"
period,a cycle
permission,formal consent
permission,license or liberty granted
permission,the act of permitting or allowing
permit,the round pompano
permit,warrant
perpendicular,"a line or plane falling at right angles on another line or surface , or making equal angles with it on each side"
perplexity,bewilderment
perplexity,distraction of mind through doubt or difficulty
perplexity,entanglement
perseverance,"continued pursuit or prosecution of any business , or enterprise begun"
perseverance,persistence in anything undertaken
perseverance,the act of persevering
personage,"form , appearance , or belongings of a person"
personality,individuality
person,"a man , woman , or child"
perspective,that which is seen through an opening
persuasion,a creed or belief
persuasion,"the act of influencing the mind by arguments or reasons offered , or by anything that moves the mind or passions , or inclines the will to a determination"
persuasion,the state of being persuaded or convinced
pet,any person especially cherished and indulged
petition,"a prayer to the supreme being , or to a person of superior power , rank , or authority"
phantom,a phantasm
phantom,that which has only an apparent existence
phenomenon,"an extraordinary or very remarkable person , thing , or occurrence"
philosophy,a particular philosophical system or theory
philosophy,fortitude
philosophy,practical wisdom
phrase,"a brief expression , sometimes a single word , but usually two or more words forming an expression by themselves , or being a portion of a sentence"
phrase,a peculiar or idiomatic turn of speech
phrase,one which is often employed
picture,a model
picture,"a representation of anything ( as a person , a landscape , a building ) upon canvas , paper , or other surface , produced by means of painting , drawing , engraving , photography , etc"
pig,any swine
pilgrimage,a journey to a shrine or other sacred place
pilgrim,a traveler
pillar,a column or shaft not supporting a superstructure as one erected for a monument or an ornament
pillar,a supporter or mainstay
pillar,"the general and popular term for a firm , upright , insulated support for a superstructure"
pinch,a nip
pinch,any very small quantity
pine,a pineapple
pink,anything supremely excellent
pink,a vessel with a very narrow stern
pirate,a robber on the high seas
pistol,"the smallest firearm used , intended to be fired from one hand , -- now of many patterns , and bearing a great variety of names"
pitch,the extreme point or degree of elevation or depression
pity,fellow - feeling
place,a court or short part of a street open only at one end
place,a mansion
place,an area
place,"rarely , unbounded space"
place,site
plan,a diagram
plan,a draught or form
plane,"a surface , any section of which by a like surface is a straight line"
plantation,a piece of ground planted with trees or useful plants
plaster,"a composition of lime , water , and sand , with or without hair as a bond , for coating walls , ceilings , and partitions of houses"
plate,"a flat , or nearly flat , piece of metal , the thickness of which is small in comparison with the other dimensions"
plate,metallic armor composed of broad pieces
platform,"a declaration of the principles upon which a person , a sect , or a party proposes to stand"
platform,"a light deck , usually placed in a section of the hold or over the floor of the magazine"
player,a dramatic actor
player,a trifler
plea,a cause in court
pleading,"the act of advocating , defending , or supporting , a cause by arguments"
plea,"in a still more limited sense , and in modern practice , the defendant ' s answer to the plaintiff ' s declaration and demand"
pleasure,diversion
pleasure,the gratification of the senses or of the mind
plenty,full or adequate supply
plenty,sufficiency
pluck,indomitable resolution
pluck,the act of plucking
plunder,the act of plundering or pillaging
plunge,"the act of pitching or throwing one ' s self headlong or violently forward , like an unruly horse"
pocket,a bag or pouch
poem,"a composition , not in verse , of which the language is highly imaginative or impassioned"
poetry,rhyme
point,"anything which tapers to a sharp , well - defined termination"
pole,"a point of maximum intensity of a force which has two such points , or which has polarity"
policeman,a constable
police,the internal regulation of a state
policy,cunning
policy,system of management
policy,worldly wisdom
polish,a gloss or luster
politeness,complaisance
politeness,obliging attentions
politician,a statesman
politician,one devoted to politics
politics,political trickery
politics,"that part of ethics which has to do with the regulation and government of a nation or state , the preservation of its safety , peace , and prosperity , the defense of its existence and rights against foreign control or conquest , the augmentation of its strength and resources , and the protection of its citizens in their rights , with the preservation and improvement of their morals"
politics,the conduct and contests of parties with reference to political measures or the administration of public affairs
pomp,power
pool,an aggregated stake to which each player has contributed a snare
pool,a puddle
pool,"the stake played for in certain games of cards , billiards , etc"
pope,"a parish priest , or a chaplain , of the greek church"
populace,the common people
popularity,good will or favor proceeding from the people
popularity,vulgarity
population,multiplication of inhabitants
port,a place where ships may ride secure from storms
porter,a man who has charge of a door or gate
porter,"one who carries or conveys burdens , luggage , etc"
porter,one who waits at the door to receive messages
portion,allotment
portrait,"commonly , a representation of the human face painted from real life"
pose,a position formally assumed for the sake of effect
pose,the attitude or position of a person
pose,the position of the body or of any member of the body
position,condition
position,station
possibility,a contingency
post,a pillar
posterity,the aggregate number of persons who are descended from an ancestor of a generation
post,the piece of ground to which a sentinel ' s walk is limited
posture,disposition
pot,a mug
pound,"a kind of net , having a large inclosure with a narrow entrance into which fish are directed by wings spreading outward"
pour,a flood
practice,custom
practice,customary or constant use
practice,usage
prairie,"an extensive tract of level or rolling land , destitute of trees , covered with coarse grass , and usually characterized by a deep , fertile soil"
prairie,a so called natural meadow
praise,commendation for worth
prayer,a supplication addressed to god
preaching,"serious , earnest advice"
precaution,caution previously employed to prevent mischief or secure good
precipice,a cliff
precision,exactness
prejudice,an opinion or judgment formed without due examination
prejudice,"an unreasonable predilection for , or objection against , anything"
preparation,a making ready
preparation,the state of being prepared or made ready
presence,"the part of space within one ' s ken , call , influence , etc"
presentation,an offering
presentation,a setting forth
presentation,bestowal
presentation,exhibition
presentation,show
presentation,the right of presenting a clergyman
present,the position of a soldier in presenting arms
preservation,"the act or process of preserving , or keeping safe"
preservation,"the state of being preserved , or kept from injury , destruction , or decay"
preserve,"a place in which game , fish , etc"
preserve,that which is preserved
press,"a commission to force men into public service , particularly into the navy"
press,an east indian insectivore
pretext,disguise
prey,plunder
price,cost
price,estimation
pride,"a sense of one ' s own worth , and abhorrence of what is beneath or unworthy of one"
pride,inordinate self - esteem
pride,noble self - esteem
priest,a presbyter
priest,"but especially , one of the lowest order possessing this power"
priesthood,the priestly function
priest,one who is authorized to consecrate the host and to say mass
primary,one of the large feathers on the distal joint of a bird ' s wing
prime,full health strength or beauty
prime,the most excellent portion
princess,a female prince
principle,an elementary proposition
principle,an original faculty or endowment
principle,"a source , or origin"
principle,that from which anything proceeds
print,"a line , character , figure , or indentation , made by the pressure of one thing on another"
print,a stamp or die for molding or impressing an ornamental design upon an object
print,"that which receives an impression , as from a stamp or mold"
prison,a place or state o � confinement restraint or safe custody
prisoner,a captive
prisoner,"a person under arrest , or in custody , whether in prison or not"
prison,"specifically , a building for the safe custody or confinement of criminals and others committed by lawful authority"
privacy,a place of seclusion from company or observation
private,the genitals
privilege,"a peculiar benefit , advantage , or favor"
privilege,franchise
prize,"a thing seized by force , stratagem , or superior power"
probability,likelihood
procedure,an act performed
procedure,operation
procedure,the act or manner of proceeding or moving forward
proceeding,progress or movement from one thing to another
proceeding,the course of procedure in the prosecution of an action at law
process,"a series of actions , motions , or occurrences"
procession,"regular , orderly , or ceremonious progress"
procession,"that which is moving onward in an orderly , stately , or solemn manner"
procession,"the act of proceeding , moving on , advancing , or issuing"
process,regular proceeding
process,the act of proceeding
proclamation,publication
produce,product
produce,"result of labor , especially of agricultural labors"
production,"that which is produced , yielded , or made , whether naturally , or by the application of intelligence and labor"
product,the number resulting from the multiplication of two or more numbers
profession,that of which one professed knowledge
profession,"the business which one professes to understand , and to follow for subsistence"
profile,"a human head represented sidewise , or in a side view"
profile,"a section of any member , made at right angles with its main lines , showing the exact shape of moldings and the like"
profit,emolument
profound,the deep
profound,the ocean
profusion,exuberant plenty
profusion,lavish supply
prohibition,a declaration or injunction forbidding some action
prohibition,interdict
prohibition,the act of prohibiting
project,an idle scheme
project,that which is projected or designed
proof,demonstration
proof,"firmness or hardness that resists impression , or does not yield to force"
proof,impenetrability of physical bodies
prophet,"one inspired or instructed by god to speak in his name , or announce future events ,"
proposal,a scheme or design
proposal,offer
proposition,"that which is offered , as for consideration , acceptance , or adoption"
proprietary,a proprietor or owner
proprietary,one who has exclusive title to a thing
propriety,suitableness to an acknowledged or correct standard or rule
propriety,the quality or state of being proper
prosecution,"the carrying on of a judicial proceeding in behalf of a complaining party , as distinguished from defense"
prosecution,"the institution and carrying on of a suit in a court of law or equity , to obtain some right , or to redress and punish some wrong"
prose,dull and commonplace discourse
prospect,face
prospect,relative aspect
protection,defense
protection,"preservation from loss , injury , or annoyance"
protection,that which protects or preserves from injury
protector,a cardinal who has the same relation to a college religious order etc
protest,"a declaration made by the master of a vessel before a notary , consul , or other authorized officer , upon his arrival in port after a disaster , stating the particulars of it , and showing that any damage or loss sustained was not owing to the fault of the vessel , her officers or crew , but to the perils of the sea , etc"
proverb,a saw
providence,a manifestation of the care and superintendence which god exercises over his creatures
province,"a country or region , more or less remote from the city of rome , brought under the roman government"
provision,a stock of food
provocation,incitement
prudence,also economy
prudence,frugality
publication,proclamation
pudding,an intestine stuffed with meat etc
puff,"an exaggerated or empty expression of praise , especially one in a public journal"
puff,a sudden and single emission of breath from the mouth
pull,a pluck
pull,loss or violence suffered
pulpit,"a desk , or platform , for an orator or public speaker"
punch,a die
pupil,a person under a guardian
purchase,"that which is obtained , got , or acquired , in any manner , honestly or dishonestly"
purchase,the act of seeking and acquiring property
puritan,one who is scrupulous and strict in his religious life
purple,imperial sovereignty
purple,"loosely and colloquially , any exalted station"
purpose,design
purpose,that which a person sets before himself as an object to be reached or accomplished
purse,a pocketbook
purse,"a small bag or pouch , the opening of which is made to draw together closely , used to carry money in"
purse,"a sum of money offered as a prize , or collected as a present"
pursuit,"a following with a view to reach , accomplish , or obtain"
pursuit,course of business or occupation
pursuit,the act of following or going after
push,a company or clique of associates
push,a gang
push,an effort
push,"a thrust with a pointed instrument , or with the end of a thing"
push,the time or occasion for action
put,a certain game at cards
put,an awkward or uncouth person
put,a push
quality,character
quality,distinctive trait
quality,"distinguishing property , characteristic , or attribute"
quality,occupation
quality,rank
quality,sort
quarrel,an angry dispute contest or strife
quarry,a heap of game killed
quarry,"a part of the entrails of the beast taken , given to the hounds"
queen,the highest of her kind
question,discussion
question,doubt
question,the act of asking
quest,request
quest,search
quick,a living animal or plant
quickness,acuteness of perception
quickness,pungency of taste
quickness,rapidity of motion
quickness,speed
quick,the mortal point
quiet,stillness
rabble,"an iron bar , with the end bent , used in stirring or skimming molten iron in the process of puddling"
race,a course
rack,a grate on which bacon is laid
radiance,vivid brightness
radiant,a body radiating light brightly
radical,a letter that belongs to the radix
rag,a ragamuffin
rag,a shred
rage,anger accompanied with raving
rage,fury
rage,violent excitement
rag,worn - out dress
rail,a neckerchief for women
rainbow,"a bow or arch exhibiting , in concentric bands , the several colors of the spectrum , and formed in the part of the hemisphere opposite to the sun by the refraction and reflection of the sun ' s rays in drops of falling rain"
rain,water falling in drops from the clouds
raising,"the act of lifting , setting up , elevating , exalting , producing , or restoring to life"
rally,a political mass meeting
ram,the male of the sheep and allied animals
random,at hazard
range,a rung
rank,a tier
ransom,"the release of a captive , or of captured property , by payment of a consideration"
rapidity,swiftness
rapid,"the part of a river where the current moves with great swiftness , but without actual waterfall or cascade"
rapture,ecstasy
rate,cost
rate,degree
rate,established portion or measure
rate,proportion
rate,rank
ratio,rate
rattle,"noisy , rapid talk"
ravine,"a deep and narrow hollow , usually worn by a stream or torrent of water"
ray,"one of a number of lines or parts diverging from a common point or center , like the radii of a circle"
ray,radius
reaction,an action induced by vital resistance to some other action
reaction,counter tendency
reader,one who reads lectures on scientific subjects
reading,the act of one who reads
reality,an actual existence
realm,a region which is under the dominion of a king
realm,division
realm,in general province
reason,that which is offered or accepted as an explanation
rebellion,insurrection
rebuke,a direct and pointed reproof
rebuke,punishment
receipt,the act of receiving
