abandon,freedom from artificial constraint
knot,"a lump or loop formed in a thread , cord , rope"
knowing,experience
knowledge,acquaintance
laboratory,a place devoted to experiments in any branch of natural science
labor,servile toil
lace,"a string , cord , or band , usually one passing through eyelet or other holes , and used in drawing and holding together parts of a garment , of a shoe , of a machine belt , etc"
lack,want
lad,a mate
ladder,"a frame usually portable , of wood , metal , or rope , for ascent and descent , consisting of two side pieces to which are fastened cross strips or rounds forming steps"
lady,a sweetheart
lake,"a pigment formed by combining some coloring matter , usually by precipitation , with a metallic oxide or earth , especially with aluminium hydrate"
lamb,the young of the sheep
lament,"an elegy or mournful ballad , or the like"
lamp,a similar device using a gas as the combustible fuel
lance,a lancer
landing,a going or bringing on shore
landscape,"a portion of land or territory which the eye can comprehend in a single view , including all the objects it contains"
land,the solid part of the surface of the earth
lane,"a narrow way among trees , rocks , and other natural obstructions"
language,human speech
lantern,"something inclosing a light , and protecting it from wind , rain , etc"
lap,"a hem , as of cloth"
lapse,a slip
lark,a jolly time
lash,a cut
lasting,the act or process of shaping on a last
last,the burden of a ship
later,a brick or tile
latitude,laxity
laugh,laughter
laughter,"a movement ( usually involuntary ) of the muscles of the face , particularly of the lips , with a peculiar expression of the eyes , indicating merriment , satisfaction , or derision , and usually attended by a sonorous and interrupted expulsion of air from the lungs"
launch,the sliding on ways from the stocks on which it is built
lava,the melted rock ejected by a volcano from its top or fissured sides
law,also the old testament
lawn,an open space between woods
lawyer,"one versed in the laws , or a practitioner of law"
lay,"a job , price , or profit"
layer,that which is laid
laying,the first coat on laths of plasterer ' s two - coat work
lead,advance position
leader,a commander
leadership,"the office , position or function of a leader"
leading,"the act of guiding , directing , governing , or enticing"
leaf,one of the parts of a plant which collectively constitute its foliage
league,"a measure of length or distance , varying in different countries from about 2"
leaning,"the act , or state , of inclining"
lean,that part of flesh which consists principally of muscle without the fat
leap,"the act of leaping , or the space passed by leaping"
learning,literature
lease,the contract for such letting
leather,dressed hides collectively
leave,adieu
lecture,a discourse on any subject
ledge,"a shelf , ridge , or reef , of rocks"
left,those members of a legislative assembly ( as in france ) who are in the opposition
legacy,"a gift of property by will , especially of money or personal property"
legend,a story respecting saints
legislation,preparation and enactment of laws
legislature,the body of persons in a state or kingdom invested with power to make and repeal laws
leg,that part of the limb between the knee and foot
leisure,freedom from occupation or business
lemon,the tree which bears lemons
length,"the longest line which can be drawn through a body , parallel to its sides"
lesson,"instruction derived from precept , experience , observation , or deduction"
let,a stroke in which a ball touches the top of the net in passing over
letter,"a mark or character used as the representative of a sound , or of an articulation of the human organs of speech"
level,a horizontal line or plane
lever,"a rigid piece which is capable of turning about one point , or axis ( the fulcrum ), and in which are two or more other points where forces are applied"
liability,"that which one is under obligation to pay , or for which one is liable"
liar,a person who knowingly utters falsehood
liberal,an opponent of the established systems
liberty,the state of a free person
library,"a considerable collection of books kept for use , and not as merchandise"
license,authority or liberty given to do or forbear any act
lid,a movable cover
lie,an untruth
lied,a lay
lieu,place
lieutenant,"a commissioned officer in the british navy , in rank next below a commander"
life,the time during which this state continues
lift,the space or distance through which anything is lifted
lighter,"a large boat or barge , mainly used in unloading or loading vessels which can not reach the wharves at the place of shipment or delivery"
lighting,a name sometimes applied to the process of annealing metals
lightness,grace
lightning,"a discharge of atmospheric electricity , accompanied by a vivid flash of light , commonly from one cloud to another , sometimes from a cloud to the earth"
light,the dawn of day
likeness,appearance or form
liking,"the state of being pleased with , or attracted toward , some thing or person"
lily,that end of a compass needle which should point to the north
limb,"a border or edge , in certain special uses"
lime,a thong by which a dog is led
limestone,a rock consisting chiefly of calcium carbonate or carbonate of lime
limitation,"a certain precinct within which friars were allowed to beg , or exercise their functions"
limit,the period itself
limp,a halt
line,"a more or less threadlike mark of pen , pencil , or graver"
linen,thread or cloth made of flax or ( rarely ) of hemp
lining,the contents of anything
link,"a torch made of tow and pitch , or the like"
links,a tract of ground laid out for the game of golf
lion,"the mane is darker , and the terminal tuft of the tail is black"
lip,a kind of short open spout
liquid,"a letter which has a smooth , flowing sound , or which flows smoothly after a mute"
liquor,a solution of a medicinal substance in water
listener,one who listens
listing,list
list,in the plural ( lists ) the ground or field inclosed for a race or combat
literature,the whole body of literary productions or writings upon a given subject or in reference to a particular science or branch of knowledge or of a given country or period
litter,things lying scattered about in a manner indicating slovenliness
livelihood,"subsistence or living , as dependent on some means of support"
liver,a very large glandular and vascular organ in the visceral cavity of all vertebrates
living,means of subsistence
load,that which is borne or sustained
loaf,"any thick lump , mass , or cake"
loan,permission to use
locality,situation
location,situation
lock,a fastening together or interlacing
lodge,a rude cabin
lodging,"the act of one who , or that which , lodges"
log,"a hebrew measure of liquids , containing 2"
logic,the science of correct reasoning
loneliness,disposition to solitude
longing,a craving
longitude,length
long,the longest dimension
looking,a glance
look,manner
lookout,a sentinel
loose,discharge
lord,a prince
lordship,a manor
lore,"the knowledge gained from tradition , books , or experience"
loss,the state of losing or having lost
lot,fortune
love,devoted attachment to or tender or passionate affection for one of the opposite sex
lover,"one who has a strong liking for anything , as books , science , or music"
lower,cloudiness
low,the calling sound ordinarily made by cows and other bovine animals
loyalty,"fidelity to a superior , or to duty , love , etc"
luck,that which happens to a person
luggage,anything cumbrous and heavy to be carried
lumber,old or refuse household stuff
lump,a projection beneath the breech end of a gun barrel
lunch,a luncheon
luncheon,"a lunch , especially one organized by a group as a formal social gathering"
lust,longing desire
luxury,"anything which pleases the senses , is not necessary for life , and is also costly , or difficult to obtain"
lyric,the words of a song
machine,"any mechanical contrivance , as the wooden horse with which the greeks entered troy"
machinery,"machines , in general , or collectively"
madam,the woman who is in charge of a brothel
mad,an earthworm
madness,extreme folly
magazine,"a receptacle in which anything is stored , especially military stores , as ammunition , arms , provisions , etc"
magic,"a comprehensive name for all of the pretended arts which claim to produce effects by the assistance of supernatural beings , or departed spirits , or by a mastery of secret forces in nature attained by a study of occult science , including enchantment , conjuration , witchcraft , sorcery , necromancy , incantation , etc"
magician,a conjurer
magistrate,"a public civil officer invested with the executive government , or some branch of it"
magnetic,"any metal , as iron , nickel , cobalt , etc"
magnificence,the state or quality of being magnificent
magnitude,size
maid,a girl
maiden,a maid
mail,"the bag or bags with the letters , papers , or other matter contained therein , conveyed under public authority from one post office to another"
mainland,the principal land
main,"principal duct or pipe , as distinguished from lesser ones"
maintenance,vindication
major,a person of full age
majority,the greater number
make,construction
maker,"one who makes , forms , or molds"
making,construction
malice,ill will
malignant,a man of extreme enmity or evil intentions
management,arrangement
manager,an intriguer
mane,"the long and heavy hair growing on the upper side of , or about , the neck of some quadrupedal animals , as the horse , the lion , etc"
manhood,courage
manifest,"a list or invoice of a ship ' s cargo , containing a description by marks , numbers , etc"
manifestation,display
manifold,the third stomach of a ruminant animal
mankind,"man , taken collectively"
manner,fashion
mansion,a house
mantle,an enveloping robe
manual,"a keyboard of an organ or harmonium for the fingers , as distinguished from the pedals"
manufacture,"anything made from raw materials by the hand , by machinery , or by art , as cloths , iron utensils , shoes , machinery , saddlery , etc"
manure,any matter which makes land productive
manuscript,"writing , as opposed to print"
map,"a representation of the surface of the earth , or of some portion of it , showing the relative position of the parts represented"
marble,"a variety of calcite , capable of being polished and used for architectural and ornamental purposes"
march,military progress
mare,the female of the horse and other equine quadrupeds
margin,brink
marine,naval economy
mark,a character or device put on an article of merchandise by the maker to show by whom it was made
market,"a meeting together of people , at a stated time and place , for the purpose of buying and selling ( as cattle , provisions , wares , etc"
marking,arrangement or disposition of marks or coloring
marquis,"a nobleman in england , france , and germany , of a rank next below that of duke"
marriage,wedlock
marshal,a harbinger
marsh,a swamp
martyrdom,torture
martyr,"one who , by his death , bears witness to the truth of the gospel"
marvel,a prodigy
mask,a frolic
mason,a member of the fraternity of freemasons
massacre,"the killing of a considerable number of human beings under circumstances of atrocity or cruelty , or contrary to the usages of civilized people"
mass,a sum
mast,"a pole , or long , strong , round piece of timber , or spar , set upright in a boat or vessel , to sustain the sails , yards , rigging , etc"
masterpiece,anything done or made with extraordinary skill
master,the owner of a slave
mastery,the position or authority of a master
mat,"any similar flat object made of fabric or other material , such as rubber or plastic , placed flat on a surface for various uses , as for covering plant houses , putting beneath dishes or lamps on a table , securing rigging from friction , and the like"
match,a person or thing equal or similar to another
material,the substance or matter of which anything is made or may be made
mate,same as checkmate
mathematics,"that science , or class of sciences , which treats of the exact relations existing between quantities or magnitudes , and of the methods by which , in accordance with these relations , quantities sought are deducible from other quantities known or supposed"
matron,a woman of staid or motherly manners
matter,the material or substantial part of anything
maturity,a becoming due
maxim,a condensed proposition of important practical truth
maximum,the greatest value attained by a quantity which first increases and then begins to decrease
mayor,the chief magistrate of a city or borough
meadow,any field on which grass is grown for hay
meal,a repast
meaning,sense
mean,mediocrity
meantime,the intervening time
measure,a fixed unit of quantity or extent
meat,the flesh of animals used as food
mechanism,the arrangement or relation of the parts of a machine
medal,"a piece of metal in the form of a coin , struck with a device , and intended to preserve the remembrance of a notable event or an illustrious person , or to serve as a reward"
medicine,a medicament
meditation,serious contemplation
medium,that by which the extremes are brought into connection
meeting,a coming together
meet,the persons who so assemble and the place of meeting
melancholy,deep dejection
melody,"a rhythmical succession of single tones , ranging for the most part within a given key , and so related together as to form a musical whole , having the unity of what is technically called a musical thought , at once pleasing to the ear and characteristic in expression"
melting,"the act of causing ( something ) to melt , or the process of becoming melted"
member,a clause
memorial,"a written representation of facts , addressed to the government , or to some branch of it , or to a society , etc"
memory,the actual and distinct retention and recognition of past ideas in the mind
menace,a threat or threatening
mental,a plate or scale covering the mentum or chin of a fish or reptile
mention,"a speaking or notice of anything , -- usually in a brief or cursory manner"
merchandise,goods
merchant,a trader
mercury,"one of the planets of the solar system , being the one nearest the sun , from which its mean distance is about 36 , 000 , 000 miles"
mercy,"forbearance to inflict harm under circumstances of provocation , when one has the power to inflict it"
mere,a boundary
meridian,midday
merit,any mark or token of excellence or approbation
merry,a kind of wild red cherry
message,"any notice , word , or communication , written or verbal , sent from one person to another"
messenger,one who bears a message
mess,the food given to a beast at one time
metal,constitutional disposition
method,a mode or system of classifying natural objects according to certain common characteristics
midday,the middle part of the day
middle,"an intervening point or part in space , time , or order of series"
midnight,the middle of the night
midst,the press
mien,bearing
military,the army
militia,"in the widest sense , the whole military force of a nation , including both those engaged in military service as a business , and those competent and available for such service"
milk,latex
mill,"a machine used for expelling the juice , sap , etc"
millennium,a period of one thousand years
miller,one who keeps or attends a flour mill or gristmill
millionaire,a very rich person
million,the mass of common people
mind,the intellectual or rational faculty in man
mineral,"an inorganic species or substance occurring in nature , having a definite chemical composition and usually a distinct crystalline form"
miniature,reduced scale
minimum,"the least quantity assignable , admissible , or possible , in a given case"
mining,the act or business of making mines or of working them
minister,a subordinate
ministry,agency
minor,an infant
minority,"the state of being a minor , or under age"
minute,the sixtieth part of a degree
miracle,a wonder or wonderful thing
mirror,any glass or polished substance that forms images by the reflection of rays of light
mirth,gayety accompanied with laughter
mischief,trouble
misery,calamity
misfortune,mishap
mission,a commission
missionary,one sent to propagate religion
mistake,an apprehending wrongly
mist,"coarse , watery vapor , floating or falling in visible particles , approaching the form of rain"
mistress,"the female head of a family , a school , etc"
misunderstanding,misconception
mixture,an ingredient entering into a mixed mass
moan,a low mournful or murmuring sound
mob,"the populace , or the lowest part of it"
mock,a jibe
mode,gradation
model,"anything which serves , or may serve , as an example for imitation"
moderate,"one of a party in the church of scotland in the 18th century , and part of the 19th , professing moderation in matters of church government , in discipline , and in doctrine"
moderation,"the act of moderating , or of imposing due restraint"
modesty,purity of thought and manners
modification,state as modified
moisture,liquid in small quantity
moment,a minute portion of time
monarch,one superior to all others of the same kind
monarchy,a kingdom
money,"any written or stamped promise , certificate , or order , as a government note , a bank note , a certificate of deposit , etc"
monk,"a piece of tinder made of agaric , used in firing the powder hose or train of a mine"
monopoly,exclusive possession
monotony,"a frequent recurrence of the same tone or sound , producing a dull uniformity"
monster,an enormity
monthly,a publication which appears regularly once a month
month,one of the twelve portions into which the year is divided
monument,"a stone or other permanent object , serving to indicate a limit or to mark a boundary"
mood,style
moon,"a secondary planet , or satellite , revolving about any member of the solar system"
moonlight,the light of the moon
moor,a heath
morality,"quality of an intention , a character , an action , a principle , or a sentiment , when tried by the standard of right"
moral,manner of living as regards right and wrong
morning,"the time from midnight to noon , from rising to noon , etc"
morrow,the day following the present
morsel,a small quantity
mortal,a being subject to death
mortality,"those who are , or that which is , mortal"
mortar,"a strong vessel , commonly in form of an inverted bell , in which substances are pounded or rubbed with a pestle"
mortgage,state of being pledged
moss,a bog
mother,"a film or membrane which is developed on the surface of fermented alcoholic liquids , such as vinegar , wine , etc"
motion,course
motive,inducement
motor,a source of mechanical power
motto,"a short , suggestive expression of a guiding principle"
mound,a ball or globe forming part of the regalia of an emperor or other sovereign
mountain,earth and rock forming an isolated peak or a ridge
mount,a mountain
mounting,"that by which anything is prepared for use , or set off to advantage"
mourning,lamentation
mouse,a knob made on a rope with spun yarn or parceling to prevent a running eye from slipping
mouth,the opening through which an animal receives food
movement,"transference , by any means , from one situation to another"
move,one ' s turn
moving,the act of changing place or posture
mud,earth and water mixed so as to be soft and adhesive
mule,a very stubborn person
multitude,an assembly
murderer,"a person who , in possession of his reason , unlawfully kills a human being with premeditated malice"
murder,intentional and unlawful homicide
murmur,"a low , confused , and indistinct sound , like that of running water"
muscle,the contractile tissue of which muscles are largely made up
muse,absorbing thought
museum,"a repository or a collection of natural , scientific , or literary curiosities , or of works of art"
musical,a drama in which music and song are prominent features
musician,a skilled singer or performer on a musical instrument
music,the art of combining tones in a manner to please the ear
mustache,a west african monkey
muster,the whole number of effective men in an army
mute,"one who , from deafness , either congenital or from early life , is unable to use articulate language"
mutiny,"insurrection against constituted authority , particularly military or naval authority"
mutton,the flesh of a sheep
muzzle,the mouth of a thing
mystery,the consecrated elements in the eucharist
mystic,in ecclesiastical history one who professed mysticism
myth,"a story of great but unknown age which originally embodied a belief regarding some fact or phenomenon of experience , and in which often the forces of nature and of the soul are personified"
mythology,the science which treats of myths
nail,"the terminal horny plate on the beak of ducks , and other allied birds"
name,distinction
narrative,that which is narrated
narrow,a strait connecting two bodies of water
nationality,the sum of the qualities which distinguish a nation
nation,a stock
native,"an animal , a fruit , or vegetable , produced in a certain region"
natural,an idiot
nature,all of creation
navigation,the act of passing on water in ships or other vessels
navy,the officers and men attached to the war vessels of a nation
nay,denial
necessary,a privy
necessity,indigence
necklace,a rope or chain fitted around the masthead to hold hanging blocks for jibs and stays
neck,"the part of an animal which connects the head and the trunk , and which , in man and many other animals , is more slender than the trunk"
needle,a hooked instrument which carries the thread or twine and by means of which knots or loops are formed in the process of netting knitting or crocheting
need,want of the means of subsistence
negative,a word used in denial or refusal
neglect,habitual carelessness
negligence,the quality or state of being negligent
negro,a black man
neighbor,a fellow being
neighborhood,adjoining district
nerve,constitutional vigor
ness,a headland
nest,the bed or receptacle prepared by a fowl for holding her eggs and for hatching and rearing her young
net,a snare
network,a system of computers linked together by communications channels allowing the exchange of data between the linked computers
neutral,a person or a nation that takes no part in a contest between others
neutrality,state of taking no part on either side
newspaper,"a sheet of paper printed and distributed , at stated intervals , for conveying intelligence of passing events , advocating opinions , etc"
nick,a reckoning
nightfall,the period at and just after dusk
night,ignorance
nineteenth,an interval of two octaves and a fifth
nineteen,the number greater than eighteen by a unit
nine,the number greater than eight by a unit
ninety,the number greater by a unit than eighty - nine
ninth,the next after the eighth
nobility,commanding excellence
noble,a person of rank above a commoner
nobleman,one of the nobility
nod,a dropping or bending forward of the upper part or top of anything
noise,sound of any kind
nominal,a verb formed from a noun
nomination,designation of a person as a candidate for office
nonsense,absurdity
nook,a secluded retreat
noon,twelve o ' clock in the daytime
normal,any perpendicular
north,"that one of the four cardinal points of the compass , at any place , which lies in the direction of the true meridian , and to the left hand of a person facing the east"
northwest,"the northwestern part of the contiguous forty - eight states of the united states , especially the states of washington and oregon"
nose,the olfactory organ
notable,"a person , or thing , of distinction"
note,"a mark , or sign , made to call attention , to point out something to notice , or the like"
notice,observation by the senses or intellect
noun,a substantive
nourishment,that which serves to nourish
nous,intellect
novel,a novelty
novelty,a small mass - produced article of little value
nuisance,that which annoys or gives trouble and vexation
number,an assemblage made up of distinct things expressible by figures
nun,a white variety of domestic pigeons having a veil of feathers covering the head
nurse,as : a woman who has the care of young children
nursery,"a place where young of any species , plant or animal , are nourished preparatory to transfer elsewhere"
nut,"the fruit of certain trees and shrubs ( as of the almond , walnut , hickory , beech , filbert , etc"
oath,"a solemn affirmation or declaration , made with a reverent appeal to god for the truth of what is affirmed"
obedience,words or actions denoting submission to authority
object,goal
objection,the act of objecting
objective,an object glass
obligation,"the binding power of a promise , contract , oath , or vow , or of law"
oblivion,official ignoring of offenses
obscurity,the quality or state of being obscure
observance,performance
observation,a remark
observer,one engaged in or trained to habits of close and exact observation
obstacle,a hindrance
obstinacy,unyielding disposition
occasion,a convenient or timely chance
occupation,that which occupies or engages the time and attention
occurrence,a coming or happening
ocean,any vast space or quantity without apparent limits
odor,perfume
offense,anger
offensive,the act of the attacking party
offering,a sacrifice
offer,that which is offered or brought forward
officer,"a person lawfully invested with an office , whether civil , military , or ecclesiastical"
office,"that which a person does , either voluntarily or by appointment , for , or with reference to , others"
official,a subordinate executive officer or attendant
oil,"any one of a great variety of unctuous combustible substances , more viscous than and not miscible with water"
olive,"a tree with small oblong or elliptical leaves , axillary clusters of flowers , and oval , one - seeded drupes"
omen,a presage
omission,neglect or failure to do something required by propriety or duty
onion,its bulbous root much used as an article of food
open,"clear land , without trees or obstructions"
opening,a beginning
opera,"the score of a musical drama , either written or in print"
operation,the act or process of operating
opinion,a notion or conviction founded on probable evidence
opponent,"one who opposes in a disputation , argument , or other verbal controversy"
opportunity,fit or convenient time or situation
opposition,the state of being placed over against
oppression,cruelty
oracle,"the answer of a god , or some person reputed to be a god , to an inquiry respecting some affair or future event , as the success of an enterprise or battle"
orange,the tree that bears oranges
orator,a public speaker
oratory,the art of an orator
orchard,an inclosure containing fruit trees
orchestra,the space in a theater between the stage and the audience
ordeal,a painful experience
orderly,a street sweeper
order,"of periods of time or occurrences , and the like"
ordinance,a rule established by authority
ordinary,"an officer who has original jurisdiction in his own right , and not by deputation"
ore,"a native metal or its compound with the rock in which it occurs , after it has been picked over to throw out what is worthless"
organ,a component part performing an essential office in the working of any complex machine
organism,an organized being
organization,the act of organizing
originality,creativity
original,that which precedes all others of its class
originator,one who originates
origin,the spring
ornament,that which adds grace or beauty
orphan,"sometimes , also , a child who has but one parent living"
ounce,the twelfth part of a troy pound
outbreak,a bursting forth
outburst,a bursting forth
outcome,upshot
outer,the part of a target which is beyond the circles surrounding the bull ' s - eye
outfit,things required as equipment for a task
outlet,a passage out
outline,contour
outlook,appearance
outrage,excessive abuse
oval,"a body or figure in the shape of an egg , or popularly , of an ellipse"
oven,"a place arched over with brick or stonework , and used for baking , heating , or drying"
overcoat,a greatcoat
overthrow,ruin
owl,a variety of the domestic pigeon
owner,one who owns
ownership,legal or just claim or title
oxygen,"a colorless , tasteless , odorless , gaseous element of atomic number 8 , occurring in the free state in the atmosphere , of which it forms about 23 per cent by weight and about 21 per cent by volume , being slightly heavier than nitrogen"
pace,"the length of a step in walking or marching , reckoned from the heel of one foot to the heel of the other"
package,act or process of packing
pack,a load for an animal
packet,a small pack or package
packing,the act or process of one who packs
padre,a priest of the native region
pagan,an idolater
page,"a contrivance , as a band , pin , snap , or the like , to hold the skirt of a woman ' s dress from the ground"
pail,a bucket
pain,"any uneasy sensation in animal bodies , from slight uneasiness to extreme distress or torture , proceeding from a derangement of functions , disease , or injury by violence"
pains,labor
painter,"a rope at the bow of a boat , used to fasten it to anything"
painting,a picture
paint,rouge
pair,two of a sort
palace,the official residence of a bishop or other distinguished personage
pale,a space or field having bounds or limits
pallor,paleness
palm,the inner and somewhat concave part of the hand between the bases of the fingers and the wrist
pamphlet,a book
pang,a sudden and transitory agony
panic,a sudden and groundless fright
pan,the part of a flintlock which holds the priming
papa,a child ' s word for father
paper,"a document , essay , or the like"
parade,"the ground where a military display is held , or where troops are drilled"
paradise,a state of happiness
paragraph,"iginally , a marginal mark note , set in the margin to call attention to something in the text , f example , a change of subject"
parallel,resemblance
parapet,"a wall , rampart , or elevation of earth , for covering soldiers from an enemy ' s fire"
parcel,a group
parchment,"the envelope of the coffee grains , inside the pulp"
pardon,an official warrant of remission of penalty
parent,"one who begets , or brings forth , offspring"
parish,"an ecclesiastical society , usually not bounded by territorial limits , but composed of those persons who choose to unite under the charge of a particular priest , clergyman , or minister"
park,"a tract of ground kept in its natural state , about or adjacent to a residence , as for the preservation of game , for walking , riding , or the like"
parliament,a general council
parlor,"commonly , in the united states , a drawing - room , or the room where visitors are received and entertained"
parson,the rector or incumbent of a parochial church who has full possession of all the rights thereof with the cure of souls
participation,"the act or state of participating , or sharing in common with others"
particle,a crumb or little piece of consecrated host
particular,a bill of particulars
parting,separation
partition,separating boundary
partner,a husband or a wife
partnership,a division or sharing among partners
party,one of the parts into which a people is divided on questions of public policy
pass,a defile
passage,the act of passing
passenger,"a traveler by some established conveyance , as a coach , steamboat , railroad train , etc"
passing,"the act of one who , or that which , passes"
passion,the capacity or susceptibility of being so affected
passport,a sea letter
paste,"a soft composition , as of flour moistened with water or milk , or of earth moistened to the consistence of dough , as in making potter ' s ware"
pastoral,a bucolic
pastor,a shepherd
pasture,pasturage
pat,a tap
patch,"a small piece of black silk stuck on the face , or neck , to hide a defect , or to heighten beauty"
patent,a document making a grant and conveyance of public lands
path,"a way , course , or track , in which anything moves or has moved"
pathos,pathetic quality
pathway,a beaten track
patience,the power of suffering with fortitude
patient,"one who , or that which , is passively affected"
patriotism,devotion to the welfare of one ' s country
patronage,the right of nomination to political office
patron,a man of distinction under whose protection another person placed himself
pattern,anything proposed for imitation
patty,a little pie
pause,a temporary stop or rest
pavement,a decorative interior floor of tiles or colored bricks
pavilion,a large tent
pay,hire
payment,the discharge of a debt or an obligation
peace,repose
peak,the sharp end or top of anything that terminates in a point
pearl,something very precious
peasant,a rustic
peculiar,a prerogative
peculiarity,particularity
peep,first outlook or appearance
peer,an associate
peg,"one of the pins of a musical instrument , on which the strings are strained"
penalty,penal retribution
penance,any act performed by a person to atone for an offense to another
pen,"an instrument used for writing with ink , formerly made of a reed , or of the quill of a goose or other bird , but now also of other materials , as of steel , gold , etc"
pencil,in general the act or occupation of the artist descriptive writer etc
peninsula,"a portion of land nearly surrounded by water , and connected with a larger body by a neck , or isthmus"
penitent,one under the direction of a confessor
penny,any small sum or coin
pension,a regular stipend paid by a government to retired public officers disabled soldiers the families of soldiers killed in service or to meritorious authors or the like
people,the vulgar
percentage,"the allowance , duty , rate of interest , discount , or commission , on a hundred"
perception,cognizance by the senses or intellect
perch,a roost
perfection,maturity
performance,achievement
perfume,"the scent , odor , or odoriferous particles emitted from a sweet - smelling substance"
period,a stated and recurring interval of time
periodical,a magazine or other publication which appears at stated or regular intervals
permission,license or liberty granted
permit,the round pompano
perpendicular,a line at right angles to the plane of the horizon
perplexity,intricacy
persecution,the infliction of loss pain or death for adherence to a particular creed or mode of worship
perseverance,continuance in a state of grace until it is succeeded by a state of glory
personage,"form , appearance , or belongings of a person"
personal,a movable
personality,individuality
person,outward appearance
perspective,a view
perspiration,sweat
persuasion,"settled opinion or conviction , which has been induced"
perusal,"the act of reading , especially of reading through or with care"
pestilence,"specifically , the disease known as the plague"
pet,a slight fit of peevishness or fretfulness
peter,a common baptismal name for a man
petition,a supplication
phantom,an apparition
phase,a particular appearance or state in a regularly recurring cycle of changes with respect to quantity of illumination or form of enlightened disk
phenomenon,an appearance
philosopher,one who lives according to the rules of practical wisdom
philosophy,the hypothesis by which particular phenomena are explained
photograph,a picture or likeness obtained by photography
phrase,expression
physician,a doctor of medicine
piano,"a well - known musical instrument somewhat resembling the harpsichord , and consisting of a series of wires of graduated length , thickness , and tension , struck by hammers moved by keys"
pick,choice
picnic,"now , an excursion or pleasure party in which the members partake of a collation or repast ( usually in the open air , and from food carried by themselves )"
picture,"a representation , either to the eye or to the mind"
pie,a magpie
piece,a part
pier,"any detached mass of masonry , whether insulated or supporting one side of an arch or lintel , as of a bridge"
piety,"loving obedience to the will of god , and earnest devotion to his service"
pig,any swine
pile,the fiber of wool cotton and the like
pilgrimage,the journey of a pilgrim
pilgrim,a stranger
pillar,"a pier , column , or post"
pillow,"a kind of plain , coarse fustian"
pilot,a director of another through a difficult or unknown course
pin,a peg
pinch,as much as may be taken between the finger and thumb
pine,a pineapple
pink,anything supremely excellent
pint,"a measure of capacity , equal to half a quart , or four gills , -- used in liquid and dry measures"
pioneer,"a soldier detailed or employed to form roads , dig trenches , and make bridges , as an army advances"
pipe,"a wind instrument of music , consisting of a tube or tubes of straw , reed , wood , or metal"
pirate,one who steals in a harbor
pistol,"the smallest firearm used , intended to be fired from one hand , -- now of many patterns , and bearing a great variety of names"
pit,a vat sunk in the ground
pitch,a limit or bound
pitcher,"specifically baseball , the player who delivers the ball to the batsman"
pity,a feeling for the sufferings or distresses of another or others
place,an open space
plague,a calamity
plain,"usually , an open field or a broad stretch of land with an even surface , or a surface little varied by inequalities"
plan,a method
plane,"a surface , any section of which by a like surface is a straight line"
planet,"a star , as influencing the fate of a men"
plank,"a broad piece of sawed timber , differing from a board only in being thicker"
plantation,a piece of ground planted with trees or useful plants
plant,a vegetable
planting,a plantation
plaster,"an external application of a consistency harder than ointment , prepared for use by spreading it on linen , leather , silk , or other material"
plateau,an ornamental dish for the table
plate,metallic armor composed of broad pieces
platform,"a declaration of the principles upon which a person , a sect , or a party proposes to stand"
play,a game
player,one without serious aims
pleading,"the act of advocating , defending , or supporting , a cause by arguments"
pleasure,amusement
plea,that which is alleged by a party in support of his cause
pledge,something put in pawn
plenty,"specifically , abundant productiveness of the earth"
plight,security
plot,an intrigue
pluck,the act of plucking
plunder,that which is taken by theft or fraud
plunge,the act of thrusting into or submerging
plural,that form of a word which expresses or denotes more than one
pocket,"a small bag inserted in a garment for carrying small articles , particularly money"
poem,"a composition in verse written in certain measures , whether in blank verse or in rhyme , and characterized by imagination and poetic diction"
poetry,rhyme
point,a tract of land extending into the water beyond the common shore line
poison,"any agent which , when introduced into the animal organism , is capable of producing a morbid , noxious , or deadly effect upon it"
pole,"a tall , slender piece of timber"
policeman,a constable
police,the internal regulation of a state
policy,the writing or instrument in which a contract of insurance is embodied
polish,elegance of manners
politeness,urbanity
politician,"one addicted or attached to politics as managed by parties ( see politics , 2 )"
politics,the conduct and contests of parties with reference to political measures or the administration of public affairs
pomp,show of magnificence
pond,"a body of water , naturally or artificially confined , and usually of less extent than a lake"
pony,twenty - five pounds sterling
pool,in public billiard rooms a game in which the loser pays the entrance fee for all who engage in the game
poor,a small european codfish
pope,"a parish priest , or a chaplain , of the greek church"
populace,"the multitude , -- comprehending all persons not distinguished by rank , office , education , or profession"
popularity,cheapness
population,multiplication of inhabitants
porch,"a covered and inclosed entrance to a building , whether taken from the interior , and forming a sort of vestibule within the main wall , or projecting without and with a separate roof"
pork,"the flesh of swine , fresh or salted , used for food"
port,bearing
porter,"a malt liquor , of a dark color and moderately bitter taste , possessing tonic and intoxicating qualities"
portion,"that which is divided off or separated , as a part from a whole"
portrait,"commonly , a representation of the human face painted from real life"
pose,a position formally assumed for the sake of effect
position,the ground which any one takes in an argument or controversy
positive,that which is capable of being affirmed
possession,"ownership , whether rightful or wrongful"
possessor,one who possesses
possibility,"the power of happening , being , or existing"
post,"a station , or one of a series of stations , established for the refreshment and accommodation of travelers on some recognized route"
posterity,the race that proceeds from a progenitor
posture,the position of the body
pot,an earthen or pewter cup for liquors
potato,"a plant of the nightshade family , and its esculent farinaceous tuber , of which there are numerous varieties used for food"
potent,one of the furs
pound,"a kind of net , having a large inclosure with a narrow entrance into which fish are directed by wings spreading outward"
